	en	Found	Not_found	Found_ratio
719	Ebed-Melek	0	6	0.0
720	Ebenezer	3	0	1.0
721	Eber	15	0	1.0
722	Ebez	1	0	1.0
723	Ebiasaph	1	2	0.3333333333333333
724	Ecbatana	1	0	1.0
725	Eden	16	2	0.8888888888888888
726	Eder	3	1	0.75
727	Edom	81	19	0.81
728	Edomite	0	12	0.0
729	Edrei	8	0	1.0
730	Eglah	2	0	1.0
731	Eglaim	1	0	1.0
732	Eglath-Shelishiyah	2	0	1.0
733	Eglon	11	1	0.9166666666666666
734	Egypt	3	1	0.75
735	Egyptian	7	22	0.2413793103448276
736	Ehi	0	1	0.0
737	Ehud	10	0	1.0
738	Eker	1	0	1.0
739	Ekron	19	1	0.95
740	Ekronite	0	2	0.0
741	El Paran	0	1	0.0
742	Ela	1	0	1.0
743	Elad	0	1	0.0
744	Elah	8	5	0.6153846153846154
745	Elam	26	3	0.896551724137931
746	Elamite	0	1	0.0
747	Elath	5	0	1.0
748	Eldaah	2	0	1.0
749	Eldad	2	0	1.0
750	Eleadah	1	0	1.0
751	Elealeh	3	2	0.6
752	Eleasah	4	2	0.6666666666666666
753	Eleazar	61	12	0.8356164383561644
754	Elhanan	4	0	1.0
755	Eli	28	2	0.9333333333333333
756	Eliab	14	7	0.6666666666666666
757	Eliada	4	0	1.0
758	Eliahba	2	0	1.0
759	Eliakim	14	0	1.0
760	Eliam	2	0	1.0
761	Eliasaph	3	3	0.5
762	Eliashib	16	1	0.9411764705882353
763	Eliathah	2	0	1.0
764	Elidad	0	1	0.0
765	Eliehoenai	2	0	1.0
766	Eliel	7	3	0.7
767	Elienai	0	1	0.0
768	Eliezer	14	1	0.9333333333333333
769	Elihoreph	1	0	1.0
770	Elihu	9	2	0.8181818181818182
771	Elijah	68	2	0.9714285714285714
772	Elika	1	0	1.0
773	Elim	6	0	1.0
774	Elimelech	5	1	0.8333333333333334
775	Elioenai	6	1	0.8571428571428571
776	Eliphal	1	0	1.0
777	Eliphaz	15	0	1.0
778	Eliphelehu	2	0	1.0
779	Eliphelet	8	0	1.0
780	Elisha	56	4	0.9333333333333333
781	Elishah	2	1	0.6666666666666666
782	Elishama	12	4	0.75
783	Elishaphat	1	0	1.0
784	Elisheba	1	0	1.0
785	Elishua	2	0	1.0
786	Eliud	0	1	0.0
787	Elizabeth	0	1	0.0
788	Elizaphan	3	1	0.75
789	Elizur	3	2	0.6
790	Elkanah	12	9	0.5714285714285714
791	Elkoshite	0	1	0.0
792	Ellasar	2	0	1.0
793	Elmadam	0	2	0.0
794	Elnaam	1	0	1.0
795	Elnathan	7	0	1.0
796	Elon	6	2	0.75
797	Elonite	0	1	0.0
798	Eloth	0	3	0.0
799	Elpaal	1	2	0.3333333333333333
800	Elpelet	1	0	1.0
801	Eltekeh	2	0	1.0
802	Eltekon	1	0	1.0
803	Eltolad	2	0	1.0
804	Elul	0	1	0.0
805	Eluzai	0	1	0.0
806	Elzabad	1	1	0.5
807	Elzaphan	2	0	1.0
808	Emek-Keziz	1	0	1.0
809	Emim	2	1	0.6666666666666666
810	Emmaus	0	1	0.0
811	En Mishpat	0	1	0.0
812	En-Dor	0	3	0.0
813	En-Eglaim	1	0	1.0
814	En-Gannim	3	0	1.0
815	En-Gedi	5	1	0.8333333333333334
816	En-Haddah	1	0	1.0
817	En-Hakkore	0	1	0.0
818	En-Hazor	1	0	1.0
819	En-Rimmon	1	0	1.0
820	En-Rogel	4	0	1.0
821	En-Shemesh	2	0	1.0
822	En-Tappuah	0	1	0.0
823	Enaim	2	0	1.0
824	Enam	1	0	1.0
