	en	Found	Not_found	Found_ratio
1750	Manahath	3	0	1.0
1751	Manahathite	0	1	0.0
1752	Manasseh	131	16	0.891156462585034
1753	Manassite	2	2	0.5
1754	Manoah	14	0	1.0
1755	Maoch	1	0	1.0
1756	Maon	6	0	1.0
1757	Mara	1	0	1.0
1758	Marah	3	0	1.0
1759	Mareal	0	1	0.0
1760	Mareshah	7	1	0.875
1761	Maroth	1	0	1.0
1762	Marsena	1	0	1.0
1763	Martha	0	1	0.0
1764	Mary	53	2	0.9636363636363636
1765	Mash	1	0	1.0
1766	Mashal	0	1	0.0
1767	Masrekah	2	0	1.0
1768	Massa	2	0	1.0
1769	Massah	4	1	0.8
1770	Matred	2	0	1.0
1771	Matrite	0	1	0.0
1772	Mattan	3	0	1.0
1773	Mattanah	2	0	1.0
1774	Mattaniah	16	0	1.0
1775	Mattatha	0	2	0.0
1776	Mattathias	1	1	0.5
1777	Mattattah	0	1	0.0
1778	Mattenai	3	0	1.0
1779	Matthat	1	5	0.16666666666666666
1780	Matthias	0	1	0.0
1781	Mattitiah	0	8	0.0
1782	Mearah	1	0	1.0
1783	Mebunnai	1	0	1.0
1784	Mecherathite	1	0	1.0
1785	Meconah	0	1	0.0
1786	Medad	2	0	1.0
1787	Medan	2	0	1.0
1788	Medeba	5	0	1.0
1789	Megiddo	12	0	1.0
1790	Mehetabel	2	1	0.6666666666666666
1791	Mehida	2	0	1.0
1792	Mehir	1	0	1.0
1793	Meholathite	2	0	1.0
1794	Mehujael	1	0	1.0
1795	Mehuman	1	0	1.0
1796	Melatiah	1	0	1.0
1797	Melchi	9	0	1.0
1798	Melchizedek	2	1	0.6666666666666666
1799	Melech	2	0	1.0
1800	Memphis	1	7	0.125
1801	Memucan	3	0	1.0
1802	Menahem	8	0	1.0
1803	Menuhoth	0	1	0.0
1804	Meonothai	1	0	1.0
1805	Mephaath	3	1	0.75
1806	Mephibosheth	13	2	0.8666666666666667
1807	Merab	3	0	1.0
1808	Meraiah	1	0	1.0
1809	Meraioth	6	1	0.8571428571428571
1810	Merari	34	5	0.8717948717948718
1811	Merarite	1	0	1.0
1812	Merathaim	1	0	1.0
1813	Mered	2	0	1.0
1814	Meremoth	5	1	0.8333333333333334
1815	Meres	1	0	1.0
1816	Merib-Baal	4	0	1.0
1817	Meribah	6	5	0.5454545454545454
1818	Merodach	1	0	1.0
1819	Merodach-Baladan	1	1	0.5
1820	Merom	2	0	1.0
1821	Meronothite	2	0	1.0
1822	Meroz	1	0	1.0
1823	Mesha	4	0	1.0
1824	Meshach	16	0	1.0
1825	Meshech	8	1	0.8888888888888888
1826	Meshelemiah	4	0	1.0
1827	Meshezabel	0	3	0.0
1828	Meshillemith	1	0	1.0
1829	Meshillemoth	2	0	1.0
1830	Meshobab	1	0	1.0
1831	Meshullam	23	2	0.92
1832	Meshullemeth	1	0	1.0
1833	Mesopotamia	3	2	0.6
1834	Methuselah	6	2	0.75
1835	Methushael	0	1	0.0
1836	Meunites	0	4	0.0
1837	Mezahab	2	0	1.0
1838	Mezobaite	0	1	0.0
1839	Mibhar	1	0	1.0
1840	Mibsam	3	0	1.0
1841	Mibzar	2	0	1.0
1842	Mica	1	4	0.2
1843	Micah	27	23	0.54
1844	Micaiah	0	5	0.0
1845	Michael	11	3	0.7857142857142857
1846	Michal	17	0	1.0
1847	Michmash	9	2	0.8181818181818182
1848	Michmethath	0	2	0.0
1849	Michri	1	0	1.0
1850	Middin	1	0	1.0
1851	Midian	53	3	0.9464285714285714
1852	Midianite	5	3	0.625
1853	Migdal Eder	0	1	0.0
1854	Migdal-El	1	0	1.0
1855	Migdal-Gad	1	0	1.0
1856	Migdol	4	2	0.6666666666666666
1857	Migron	2	0	1.0
1858	Mijamin	1	3	0.25
1859	Mikloth	4	0	1.0
1860	Mikneiah	2	0	1.0
1861	Milalai	1	0	1.0
1862	Milcah	10	0	1.0
1863	Milcom	3	0	1.0
1864	Miniamin	3	0	1.0
1865	Minni	1	0	1.0
1866	Minnith	2	0	1.0
1867	Miriam	13	0	1.0
1868	Mirmah	0	1	0.0
1869	Mishael	8	0	1.0
