	en	Found	Not_found	Found_ratio
173	Ephrathite	1	0	1.0
174	Erastus	2	0	1.0
175	Esau	8	22	0.26666666666666666
176	Esther	42	3	0.9333333333333333
177	Ethan	0	1	0.0
178	Ethiopian	0	5	0.0
179	Eubulus	0	2	0.0
180	Euodia	0	1	0.0
181	Ezrahite	0	2	0.0
182	Festus	3	6	0.3333333333333333
183	Gabriel	0	1	0.0
184	Gadarene	0	2	0.0
185	Gaius	4	0	1.0
186	Galatia	2	0	1.0
187	Galatian	0	4	0.0
188	Galilean	0	5	0.0
189	Galilee	56	1	0.9824561403508771
190	Gallio	0	11	0.0
191	Gamaliel	0	3	0.0
192	Gath	1	1	0.5
193	Gaza	2	1	0.6666666666666666
194	Geba	1	0	1.0
195	Gebal	0	1	0.0
196	Gedaliah	1	0	1.0
197	Gehenna	0	3	0.0
198	Gennesaret	2	2	0.5
199	Gerasene	0	1	0.0
200	Gethsemane	0	1	0.0
201	Gideon	0	1	0.0
202	Gilead	3	2	0.6
203	Gilgal	1	0	1.0
204	Gomorrah	1	3	0.25
205	Greece	0	9	0.0
206	Greek	1	2	0.3333333333333333
207	Greek woman	0	2	0.0
208	Habakkuk	2	0	1.0
209	Hadad-Rimmon	1	0	1.0
210	Hadassah	1	0	1.0
211	Hadrach	1	0	1.0
212	Haggai	9	0	1.0
213	Hagrite	0	1	0.0
214	Ham	4	0	1.0
215	Haman	43	2	0.9555555555555556
216	Hamath	1	0	1.0
217	Hammedatha	5	0	1.0
218	Hamor	0	1	0.0
219	Hananel	1	0	1.0
220	Harbona	2	0	1.0
221	Hathach	4	0	1.0
222	Hebrew	4	0	1.0
223	Hegai	4	0	1.0
224	Heldai	1	0	1.0
225	Helem	0	1	0.0
226	Heli	0	29	0.0
227	Hellenist	0	1	0.0
228	Heman	0	1	0.0
229	Hen	0	1	0.0
230	Hermes	2	0	1.0
231	Hermogenes	0	1	0.0
232	Hermon	1	2	0.3333333333333333
233	Herod	39	0	1.0
234	Herodians	0	1	0.0
235	Herodias	0	3	0.0
236	Herodion	0	6	0.0
237	Hezekiah	2	0	1.0
238	Hezron	2	0	1.0
239	Horeb	2	0	1.0
240	Iconium	0	2	0.0
241	Iddo	2	0	1.0
242	Idumea	0	1	0.0
243	India	2	0	1.0
244	Isaac	1	10	0.09090909090909091
245	Isaiah	0	6	0.0
246	Iscariot	0	20	0.0
247	Ishmaelite	0	1	0.0
248	Israel	153	20	0.884393063583815
249	Issachar	0	2	0.0
250	Italy	0	1	0.0
251	Ituraean	0	4	0.0
252	Jabin	0	1	0.0
253	Jacob	63	26	0.7078651685393258
254	Jair	1	0	1.0
255	Jairus	0	1	0.0
256	Jambres	0	2	0.0
257	James	40	1	0.975609756097561
258	Jannai	0	1	0.0
259	Jannes	0	2	0.0
260	Jared	0	1	0.0
261	Jason	4	2	0.6666666666666666
262	Javan	0	1	0.0
263	Javanite	0	1	0.0
264	Jebusite	1	0	1.0
265	Jechoniah	0	1	0.0
266	Jeconiah	1	0	1.0
267	Jedaiah	2	0	1.0
268	Jeduthun	0	5	0.0
269	Jehoshaphat	2	1	0.6666666666666666
270	Jehozadak	6	0	1.0
271	Jephthah	0	5	0.0
272	Jerusalem	210	14	0.9375
273	Jesse	3	0	1.0
274	Jesus	0	3	0.0
275	Jew	6	3	0.6666666666666666
276	Jewish	39	147	0.20967741935483872
277	Jezebel	0	1	0.0
278	Joab	0	1	0.0
279	Joanan	0	2	0.0
280	Joanna	0	1	0.0
281	Job	0	2	0.0
282	Joda	0	3	0.0
283	Joel	1	1	0.5
284	John	133	3	0.9779411764705882
285	Jonah	17	2	0.8947368421052632
286	Jonam	0	1	0.0
287	Joppa	1	1	0.5
288	Joram	0	9	0.0
289	Jordan	3	1	0.75
290	Jorim	0	2	0.0
291	Josech	0	2	0.0
292	Joseph	37	5	0.8809523809523809
293	Joses	1	1	0.5
294	Joshua	12	913	0.012972972972972972
295	Josiah	2	2	0.5
296	Jotham	1	0	1.0
297	Judah	50	95	0.3448275862068966
298	Judas	9	5	0.6428571428571429
299	Judea	6	9	0.4
300	Judean	0	43	0.0
301	Julia	0	1	0.0
302	Julius	0	4	0.0
303	Junias	0	1	0.0
304	Justus	2	2	0.5
305	Kadesh	1	0	1.0
306	Kedar	1	0	1.0
307	Kidron	0	2	0.0
308	Kish	1	8	0.1111111111111111
309	Kishon	0	1	0.0
310	Korah	0	11	0.0
311	Lachish	1	0	1.0
312	Lamech	0	4	0.0
313	Laodicea	1	0	1.0
314	Lazarus	11	0	1.0
315	Leah	1	0	1.0
316	Lebanon	8	1	0.8888888888888888
317	Levi	10	0	1.0
318	Levite	0	3	0.0
319	Libya	0	1	0.0
320	Libyan	1	0	1.0
321	Lot	0	2	0.0
322	Lucius	1	3	0.25
323	Lycaonia	1	0	1.0
324	Lycaonian	0	2	0.0
325	Lycia	0	1	0.0
326	Lysanias	0	1	0.0
327	Lysias	0	1	0.0
328	Maath	0	1	0.0
329	Macedonian	1	21	0.045454545454545456
330	Madai	0	5	0.0
331	Magadan	0	4	0.0
332	Magdalene	0	1	0.0
333	Magog	0	12	0.0
334	Mahalaleel	0	5	0.0
335	Mahlon	4	0	1.0
336	Malachi	1	0	1.0
337	Malchus	0	1	0.0
338	Malta	0	1	0.0
339	Manaen	0	1	0.0
340	Manasseh	1	4	0.2
341	Mara	1	0	1.0
342	Mareshah	1	0	1.0
343	Maroth	1	0	1.0
344	Marsena	1	0	1.0
345	Martha	0	1	0.0
346	Mary	53	2	0.9636363636363636
347	Massah	1	0	1.0
348	Mattatha	0	2	0.0
349	Mattathias	0	2	0.0
350	Matthat	0	6	0.0
351	Matthias	0	1	0.0
352	Megiddo	1	0	1.0
353	Mehuman	1	0	1.0
354	Melchi	9	0	1.0
355	Melchizedek	1	1	0.5
356	Memucan	3	0	1.0
357	Meres	1	0	1.0
358	Meribah	2	1	0.6666666666666666
359	Meshech	1	0	1.0
360	Mesopotamia	0	1	0.0
361	Methuselah	0	2	0.0
362	Micah	1	0	1.0
363	Michael	0	1	0.0
364	Midian	1	2	0.3333333333333333
365	Miriam	1	0	1.0
366	Mizraim	0	24	0.0
367	Moab	10	3	0.7692307692307693
368	Moabite	6	1	0.8571428571428571
369	Mordecai	48	2	0.96
370	Moresheth-Gath	1	0	1.0
371	Moses	9	1	0.9
372	Most High	12	9	0.5714285714285714
373	Naaman	0	1	0.0
