	en	Found	Not_found	Found_ratio
460	Ishmaelite	4	1	0.8
461	Ishva	1	0	1.0
462	Ishvi	2	0	1.0
463	Ishvite	1	0	1.0
464	Israel	709	64	0.9172056921086675
465	Israelite	2	0	1.0
466	Issachar	18	0	1.0
467	Ithamar	12	0	1.0
468	Ithiel	2	0	1.0
469	Ithran	1	0	1.0
470	Ivvah	1	0	1.0
471	Iye-Abarim	0	2	0.0
472	Izhar	4	0	1.0
473	Izharite	1	0	1.0
474	Jabal	1	0	1.0
475	Jabbok	3	1	0.75
476	Jabin	0	1	0.0
477	Jachin	3	0	1.0
478	Jachinite	1	0	1.0
479	Jacob	274	36	0.8838709677419355
480	Jahaz	3	0	1.0
481	Jahleel	2	0	1.0
482	Jahleelite	1	0	1.0
483	Jahzeel	2	0	1.0
484	Jahzeelite	1	0	1.0
485	Jair	4	0	1.0
486	Jairus	0	1	0.0
487	Jakeh	1	0	1.0
488	Jalam	3	0	1.0
489	Jambres	0	2	0.0
490	James	28	1	0.9655172413793104
491	Jamin	3	0	1.0
492	Jaminite	1	0	1.0
493	Jannes	0	1	0.0
494	Japheth	9	0	1.0
495	Jared	5	0	1.0
496	Jashub	1	0	1.0
497	Jashubite	1	0	1.0
498	Jason	0	2	0.0
499	Javan	3	0	1.0
500	Jazer	6	0	1.0
501	Jeberechiah	1	0	1.0
502	Jebusite	11	0	1.0
503	Jeduthun	0	5	0.0
504	Jehizkiah	0	1	0.0
505	Jehoshaphat	0	1	0.0
506	Jemuel	2	0	1.0
507	Jephthah	0	3	0.0
508	Jephunneh	8	0	1.0
509	Jerah	1	0	1.0
510	Jericho	12	0	1.0
511	Jerusalem	132	8	0.9428571428571428
512	Jeshurun	4	0	1.0
513	Jesse	3	0	1.0
514	Jesus	0	3	0.0
515	Jether	0	1	0.0
516	Jetheth	1	0	1.0
517	Jethro	9	0	1.0
518	Jetur	1	0	1.0
519	Jeush	3	0	1.0
520	Jew	0	2	0.0
521	Jewish	0	86	0.0
522	Jezebel	0	1	0.0
523	Jezer	2	0	1.0
524	Jezerite	1	0	1.0
525	Jidlaph	1	0	1.0
526	Joab	0	1	0.0
527	Joah	3	0	1.0
528	Joanan	0	2	0.0
529	Joanna	0	1	0.0
530	Job	0	2	0.0
531	Jobab	3	0	1.0
532	Jochebed	2	0	1.0
533	Joda	0	3	0.0
534	Joel	0	1	0.0
535	Jogbehah	1	0	1.0
536	Jogli	1	0	1.0
537	John	102	6	0.9444444444444444
538	Jokshan	2	0	1.0
539	Joktan	3	0	1.0
540	Jonah	0	1	0.0
541	Joram	0	9	0.0
542	Jordan	53	2	0.9636363636363636
543	Jorim	0	2	0.0
544	Josech	0	2	0.0
545	Joseph	198	7	0.9658536585365853
546	Joses	1	1	0.5
547	Joshua	27	565	0.04560810810810811
548	Josiah	0	2	0.0
549	Jotbathah	3	0	1.0
550	Jotham	2	0	1.0
551	Jubal	1	0	1.0
552	Judah	85	28	0.7522123893805309
553	Judas	3	4	0.42857142857142855
554	Judea	5	10	0.3333333333333333
555	Judean	0	29	0.0
556	Judith	1	0	1.0
557	Kadesh	11	0	1.0
558	Kadesh Barnea	6	0	1.0
559	Kadmonite	1	0	1.0
560	Kedar	6	0	1.0
561	Kedemah	1	0	1.0
562	Kedemoth	1	0	1.0
563	Kehelathah	2	0	1.0
564	Kemuel	2	0	1.0
565	Kenan	5	0	1.0
566	Kenath	1	0	1.0
567	Kenaz	3	0	1.0
568	Kenite	2	0	1.0
569	Kenizzite	1	1	0.5
570	Keturah	2	0	1.0
571	Kibroth Hattaavah	5	0	1.0
572	Kir	1	0	1.0
573	Kir-Heres	0	2	0.0
574	Kir-Moab	0	1	0.0
575	Kiriath-Arba	0	2	0.0
576	Kiriath-Huzoth	0	1	0.0
577	Kiriathaim	2	0	1.0
578	Kishon	0	1	0.0
579	Kittim	5	0	1.0
580	Kohath	16	0	1.0
581	Kohathite	7	0	1.0
582	Korah	1	31	0.03125
583	Korahite	2	0	1.0
584	Laban	45	2	0.9574468085106383
585	Lachish	2	0	1.0
586	Laishah	1	0	1.0
587	Lamech	9	4	0.6923076923076923
588	Lasha	1	0	1.0
589	Lazarus	11	0	1.0
590	Laël	0	1	0.0
591	Leah	33	0	1.0
592	Lebanon	16	1	0.9411764705882353
593	Lehabim	1	0	1.0
594	Lemuel	2	0	1.0
595	Letushim	1	0	1.0
596	Leummim	1	0	1.0
597	Levi	40	0	1.0
598	Levite	87	3	0.9666666666666667
599	Libnah	3	0	1.0
600	Libni	2	0	1.0
601	Libnite	2	0	1.0
602	Lot	29	1	0.9666666666666667
603	Lotan	3	0	1.0
604	Lud	2	0	1.0
605	Ludim	1	0	1.0
606	Luhith	1	0	1.0
607	Luz	3	0	1.0
608	Lysias	0	1	0.0
609	Maacah	1	0	1.0
610	Maacathite	1	0	1.0
611	Maath	1	0	1.0
612	Machi	1	0	1.0
613	Machir	7	0	1.0
614	Machirite	1	0	1.0
615	Machpelah	6	0	1.0
616	Madai	1	2	0.3333333333333333
617	Madmenah	1	0	1.0
618	Magadan	0	3	0.0
619	Magdalene	0	1	0.0
620	Magdiel	1	0	1.0
621	Magog	1	12	0.07692307692307693
622	Mahalalel	5	0	1.0
623	Mahalath	1	0	1.0
624	Mahanaim	0	1	0.0
625	Maher-Shalal-Hash-Baz	0	2	0.0
626	Mahlah	3	0	1.0
627	Mahli	2	0	1.0
628	Mahlite	2	0	1.0
629	Makheloth	2	0	1.0
630	Malchiel	2	0	1.0
631	Malchielite	1	0	1.0
632	Malchus	0	1	0.0
633	Malta	0	1	0.0
634	Mamre	10	0	1.0
635	Manaen	0	1	0.0
636	Manahath	1	0	1.0
637	Manasseh	36	5	0.8780487804878049
638	Manassite	1	1	0.5
639	Marah	3	0	1.0
640	Martha	0	1	0.0
641	Mary	51	2	0.9622641509433962
642	Mash	1	0	1.0
643	Masrekah	1	0	1.0
644	Massa	1	0	1.0
645	Massah	5	0	1.0
646	Matred	1	0	1.0
647	Mattanah	2	0	1.0
648	Mattatha	0	2	0.0
649	Mattathias	1	1	0.5
650	Matthat	1	4	0.2
651	Matthias	0	1	0.0
652	Medad	2	0	1.0
653	Medan	1	0	1.0
654	Medeba	2	0	1.0
655	Mehetabel	1	0	1.0
656	Mehujael	1	0	1.0
657	Melchi	1	0	1.0
658	Melchizedek	0	2	0.0
659	Memphis	1	0	1.0
660	Merari	16	0	1.0
661	Merarite	1	0	1.0
662	Meribah	8	1	0.8888888888888888
663	Merodach-Baladan	0	1	0.0
664	Mesha	1	0	1.0
665	Meshech	2	0	1.0
666	Mesopotamia	1	2	0.3333333333333333
667	Methuselah	5	0	1.0
668	Methushael	1	0	1.0
669	Mezahab	1	0	1.0
670	Mibsam	1	0	1.0
671	Mibzar	1	0	1.0
672	Michael	1	0	1.0
673	Michmash	1	0	1.0
674	Midian	18	2	0.9
675	Midianite	8	0	1.0
676	Migdal Eder	0	1	0.0
677	Migdol	2	0	1.0
678	Migron	1	0	1.0
679	Milcah	9	0	1.0
680	Miriam	10	0	1.0
681	Mishael	2	0	1.0
682	Mishma	1	0	1.0
683	Mithkah	2	0	1.0
684	Mizpa	1	0	1.0
685	Mizraim	3	421	0.007075471698113208
686	Mizzah	2	0	1.0
687	Moab	65	3	0.9558823529411765
688	Moabite	2	1	0.6666666666666666
689	Molech	5	0	1.0
690	Moreh	2	0	1.0
691	Moriah	1	0	1.0
692	Moserah	1	2	0.3333333333333333
693	Moseroth	2	0	1.0
