	en	Found	Not_found	Found_ratio
1327	Jahaz	4	0	1.0
1328	Jahaziel	5	1	0.8333333333333334
1329	Jahdai	1	0	1.0
1330	Jahdiel	1	0	1.0
1331	Jahdo	1	0	1.0
1332	Jahleel	2	0	1.0
1333	Jahleelite	1	0	1.0
1334	Jahzah	1	4	0.2
1335	Jahzeel	2	0	1.0
1336	Jahzeelite	1	0	1.0
1337	Jahzeiah	1	0	1.0
1338	Jahzerah	1	0	1.0
1339	Jahziel	1	0	1.0
1340	Jair	12	0	1.0
1341	Jairite	1	0	1.0
1342	Jairus	0	1	0.0
1343	Jakan	0	1	0.0
1344	Jakeh	1	0	1.0
1345	Jakim	2	0	1.0
1346	Jalam	4	0	1.0
1347	Jalon	1	0	1.0
1348	Jambres	0	2	0.0
1349	James	40	1	0.975609756097561
1350	Jamin	6	0	1.0
1351	Jaminite	1	0	1.0
1352	Jamlek	0	1	0.0
1353	Janai	1	0	1.0
1354	Jannai	0	1	0.0
1355	Jannes	0	2	0.0
1356	Janoah	3	0	1.0
1357	Janum	0	1	0.0
1358	Japheth	11	0	1.0
1359	Japhia	5	0	1.0
1360	Japhlet	2	0	1.0
1361	Japhletite	1	0	1.0
1362	Jarah	1	0	1.0
1363	Jared	6	2	0.75
1364	Jarha	2	0	1.0
1365	Jarib	3	0	1.0
1366	Jarmuth	7	0	1.0
1367	Jaroah	1	0	1.0
1368	Jashen	1	0	1.0
1369	Jashobeam	2	1	0.6666666666666666
1370	Jashub	3	0	1.0
1371	Jashubite	1	0	1.0
1372	Jason	4	2	0.6666666666666666
1373	Jathniel	1	0	1.0
1374	Jattir	3	1	0.75
1375	Javan	7	1	0.875
1376	Javanite	0	1	0.0
1377	Jazer	12	1	0.9230769230769231
1378	Jaziz	0	1	0.0
1379	Jeatherai	0	1	0.0
1380	Jeberechiah	1	0	1.0
1381	Jebus	4	0	1.0
1382	Jebusite	41	0	1.0
1383	Jechoniah	0	1	0.0
1384	Jecoliah	1	2	0.3333333333333333
1385	Jeconiah	6	0	1.0
1386	Jedaiah	13	0	1.0
1387	Jediael	5	1	0.8333333333333334
1388	Jedidah	1	0	1.0
1389	Jedidiah	1	0	1.0
1390	Jeduthun	15	5	0.75
1391	Jehallelel	2	0	1.0
1392	Jehdeiah	2	0	1.0
1393	Jehiah	1	0	1.0
1394	Jehiel	13	2	0.8666666666666667
1395	Jehieli	2	0	1.0
1396	Jehizkiah	1	40	0.024390243902439025
1397	Jehoaddah	2	0	1.0
1398	Jehoaddin	1	1	0.5
1399	Jehoahaz	20	0	1.0
1400	Jehoash	13	4	0.7647058823529411
1401	Jehohanan	8	1	0.8888888888888888
1402	Jehoiachin	11	0	1.0
1403	Jehoiada	47	4	0.9215686274509803
1404	Jehoiakim	35	0	1.0
1405	Jehoiarib	2	0	1.0
1406	Jehonadab	3	12	0.2
1407	Jehoram	20	9	0.6896551724137931
1408	Jehoshabeath	2	0	1.0
1409	Jehoshaphat	81	4	0.9529411764705882
1410	Jehosheba	1	0	1.0
1411	Jehozabad	4	0	1.0
1412	Jehozadak	8	0	1.0
1413	Jehu	57	1	0.9827586206896551
1414	Jehubbah	1	0	1.0
1415	Jehucal	1	0	1.0
1416	Jeiel	11	2	0.8461538461538461
1417	Jekabzeel	1	0	1.0
1418	Jekameam	2	0	1.0
1419	Jekamiah	2	0	1.0
1420	Jekuthiel	1	0	1.0
1421	Jemimah	1	0	1.0
1422	Jemuel	2	0	1.0
1423	Jephthah	0	5	0.0
1424	Jephunneh	15	1	0.9375
1425	Jerah	2	0	1.0
1426	Jerahmeel	8	0	1.0
1427	Jerahmeelite	2	0	1.0
1428	Jeremai	1	0	1.0
1429	Jeremiah	128	4	0.9696969696969697
1430	Jeremoth	6	0	1.0
1431	Jeriah	2	1	0.6666666666666666
1432	Jeribai	1	0	1.0
1433	Jericho	56	1	0.9824561403508771
1434	Jeriel	1	0	1.0
1435	Jerimoth	5	2	0.7142857142857143
1436	Jerioth	1	0	1.0
1437	Jeroboam	95	1	0.9895833333333334
1438	Jeroham	7	3	0.7
1439	Jerubbaal	12	1	0.9230769230769231
1440	Jerubbesheth	1	0	1.0
1441	Jeruel	1	0	1.0
1442	Jerusalem	773	28	0.9650436953807741
1443	Jerusha	2	0	1.0
1444	Jeshaiah	4	0	1.0
1445	Jeshanah	1	0	1.0
1446	Jesharelah	1	0	1.0
1447	Jeshebeab	1	0	1.0
1448	Jesher	1	0	1.0
1449	Jeshishai	1	0	1.0
1450	Jeshohaiah	1	0	1.0
1451	Jeshua	28	2	0.9333333333333333
1452	Jeshurun	4	0	1.0
1453	Jesimiel	1	0	1.0
1454	Jesse	38	1	0.9743589743589743
1455	Jesus	0	3	0.0
1456	Jether	7	1	0.875
1457	Jetheth	2	0	1.0
1458	Jethro	9	0	1.0
1459	Jetur	3	0	1.0
1460	Jeuel	1	0	1.0
1461	Jeush	9	0	1.0
1462	Jeuz	1	0	1.0
1463	Jew	14	3	0.8235294117647058
1464	Jewish	4	182	0.021505376344086023
1465	Jezaniah	1	0	1.0
1466	Jezebel	22	1	0.9565217391304348
1467	Jezer	3	0	1.0
1468	Jezerite	1	0	1.0
1469	Jeziel	2	0	1.0
1470	Jezrahaiah	0	1	0.0
1471	Jezreel	35	1	0.9722222222222222
1472	Jezreelite	13	0	1.0
1473	Jidlaph	1	0	1.0
1474	Joab	141	4	0.9724137931034482
1475	Joah	10	1	0.9090909090909091
1476	Joahaz	4	0	1.0
1477	Joanan	0	2	0.0
1478	Joanna	0	1	0.0
1479	Joash	48	1	0.9795918367346939
1480	Job	58	2	0.9666666666666667
1481	Jobab	9	0	1.0
1482	Jochebed	2	0	1.0
1483	Joda	0	3	0.0
1484	Joed	1	0	1.0
1485	Joel	17	3	0.85
1486	Joelah	0	1	0.0
1487	Joezer	0	1	0.0
1488	Jogbehah	2	0	1.0
1489	Jogli	1	0	1.0
1490	Joha	2	0	1.0
1491	Johanan	22	2	0.9166666666666666
1492	John	130	6	0.9558823529411765
1493	Joiada	5	0	1.0
1494	Joiakim	4	0	1.0
1495	Joiarib	5	0	1.0
1496	Jokdeam	1	0	1.0
1497	Jokim	1	0	1.0
1498	Jokmeam	1	1	0.5
1499	Jokneam	3	0	1.0
1500	Jokshan	3	0	1.0
1501	Joktan	6	0	1.0
1502	Joktheel	2	0	1.0
1503	Jonah	18	2	0.9
1504	Jonam	0	1	0.0
1505	Jonathan	121	3	0.9758064516129032
1506	Joppa	3	2	0.6
1507	Jorah	1	0	1.0
1508	Jorai	1	0	1.0
1509	Joram	20	9	0.6896551724137931
1510	Jordan	153	11	0.9329268292682927
1511	Jorim	0	2	0.0
1512	Jorkeam	1	0	1.0
1513	Josech	0	2	0.0
1514	Joseph	240	9	0.963855421686747
1515	Joses	1	1	0.5
1516	Joshah	1	0	1.0
1517	Joshaphat	2	0	1.0
1518	Joshaviah	1	0	1.0
1519	Joshbekashah	2	0	1.0
1520	Josheb-Basshebeth	0	1	0.0
1521	Joshibiah	1	0	1.0
1522	Joshua	218	912	0.1929203539823009
1523	Josiah	53	2	0.9636363636363636
1524	Josiphiah	1	0	1.0
1525	Jotbah	1	0	1.0
1526	Jotbathah	3	0	1.0
1527	Jotham	23	1	0.9583333333333334
1528	Jozabad	7	4	0.6363636363636364
1529	Jozadak	5	0	1.0
1530	Jubal	1	0	1.0
1531	Jucal	1	0	1.0
1532	Judah	792	81	0.9072164948453608
1533	Judas	7	7	0.5
1534	Judea	5	10	0.3333333333333333
1535	Judean	0	49	0.0
1536	Judith	1	0	1.0
1537	Julia	0	1	0.0
1538	Julius	0	4	0.0
1539	Junias	0	1	0.0
1540	Jushab-Hesed	0	1	0.0
1541	Justus	2	2	0.5
1542	Juttah	1	1	0.5
1543	Kabzeel	3	0	1.0
1544	Kadesh	15	0	1.0
1545	Kadesh Barnea	10	0	1.0
1546	Kadmiel	7	1	0.875
1547	Kadmonite	1	0	1.0
1548	Kaiwan	0	1	0.0
1549	Kallai	1	0	1.0
1550	Kamon	1	0	1.0
1551	Kanah	3	0	1.0
1552	Kareah	14	0	1.0
1553	Karka	1	0	1.0
1554	Karkor	1	0	1.0
1555	Karnaim	0	1	0.0
1556	Kartah	1	0	1.0
1557	Kartan	1	0	1.0
1558	Kattath	1	0	1.0
1559	Kedar	11	0	1.0
1560	Kedemah	2	0	1.0
1561	Kedemoth	3	1	0.75
1562	Kedesh	10	2	0.8333333333333334
1563	Kehelathah	2	0	1.0
1564	Keilah	18	0	1.0
1565	Kelaiah	1	0	1.0
1566	Kelita	2	1	0.6666666666666666
1567	Kemuel	3	0	1.0
1568	Kenan	6	0	1.0
1569	Kenath	2	0	1.0
1570	Kenaz	11	0	1.0
1571	Kenite	12	0	1.0
1572	Kenizzite	4	0	1.0
1573	Keren-Happuch	0	1	0.0
1574	Kerioth	4	0	1.0
1575	Keros	2	0	1.0
1576	Keturah	4	0	1.0
1577	Keziah	1	0	1.0
1578	Kibroth Hattaavah	5	0	1.0
1579	Kibzaim	1	0	1.0
1580	Kidron	11	2	0.8461538461538461
1581	Kinah	1	0	1.0
1582	Kir	4	0	1.0
1583	Kir-Heres	0	5	0.0
1584	Kir-Moab	0	1	0.0
1585	Kiriath-Arba	0	9	0.0
1586	Kiriath-Baal	0	2	0.0
1587	Kiriath-Huzoth	0	1	0.0
1588	Kiriath-Jearim	0	20	0.0
1589	Kiriath-Sannah	0	1	0.0
1590	Kiriath-Sepher	0	4	0.0
1591	Kiriathaim	6	1	0.8571428571428571
1592	Kish	16	8	0.6666666666666666
1593	Kishi	0	1	0.0
1594	Kishion	2	0	1.0
1595	Kishon	5	1	0.8333333333333334
1596	Kitron	1	0	1.0
1597	Kittim	9	0	1.0
1598	Koa	1	0	1.0
1599	Kohath	26	6	0.8125
1600	Kohathite	12	2	0.8571428571428571
1601	Kolaiah	2	0	1.0
