	term	domain	category	sense	AR	DC	en	es	fr	id	vrefs
1373	וַיְזָתָא	PN	person		False	False	Vaizatha	Zía	loup	Wasni	['EST 9:9']
1374	וַנְיָה	PN	person		False	False	Vaniah	Zif	Zéev	Wasti	['EZR 10:36']
1375	וָפְסִי	PN	person		False	False	Vophsi	Zif	Zavad	serigala	['NUM 13:14']
1376	וַשְׁנִי	PN	person		False	False	Vashni	Zif	Zavad	Zeeb	['1CH 5:39']
1377	וַשְׁתִּי	PN	person		False	False	Vashti	Zif	Zavad	Zabad	['EST 1:9', 'EST 1:11', 'EST 1:12', 'EST 1:15', 'EST 1:16', 'EST 1:17', 'EST 1:19', 'EST 2:1', 'EST 2:4', 'EST 2:17']
1378	זְאֵב	FA	mammals; wild animals	1	False	False	wolf	Zifitas	Zavad	Zabad	['GEN 49:27', 'ISA 11:6', 'ISA 65:25', 'JER 5:6', 'EZK 22:27', 'HAB 1:8', 'ZEP 3:3']
1379	זְאֵב	PN	person	2	False	False	Zeeb	Árbol de olivo	Zavad	Zabad	['JDG 7:25', 'JDG 8:3', 'PSA 83:13']
1380	זָבָד	PN	person	1	False	False	Zabad	Zetán	Zavdi	Zabad	['1CH 2:36', '1CH 2:37']
1381	זָבָד	PN	person	2	False	False	Zabad	Zacur	Zavdi	Zabad	['1CH 7:21']
1382	זָבָד	PN	person	3	False	False	Zabad	Zacur	Zavdi	Zabdi	['1CH 11:41']
1383	זָבָד	PN	person	4	False	False	Zabad	Zacur	Zavdi	Zabdi	['2CH 24:26']
1384	זָבָד	PN	person	5	False	False	Zabad	Jacur	Zavdiël	Zabdi	['EZR 10:27', 'EZR 10:33', 'EZR 10:43']
1385	זַבְדִּי	PN	person	1	False	False	Zabdi	Zacur	Zavdiël	Zabdi	['JOS 7:1', 'JOS 7:17', 'JOS 7:18']
1386	זַבְדִּי	PN	person	2	False	False	Zabdi	Zacur	Zevadya	Zabdiel	['1CH 8:19']
1387	זַבְדִּי	PN	person	3	False	False	Zabdi	Zacai	Zevadya	Zabdiel	['1CH 27:27']
1388	זַבְדִּי	PN	person	4	False	False	Zabdi	Zéquer	Zevadya	Zebaja	['NEH 11:17']
1389	זַבְדִּיאֵל	PN	person	1	False	False	Zabdiel	Zicrí	Zevadya	Zebaja	['1CH 27:2']
1390	זַבְדִּיאֵל	PN	person	2	False	False	Zabdiel	Zicrí	Zevadya	Zebaja	['NEH 11:14']
1391	זְבַדְיָה	PN	person	1	False	False	Zebadiah	Zicrí	Zevadyahou	Zebaja	['1CH 8:15']
1392	זְבַדְיָה	PN	person	2	False	False	Zebadiah	Zicrí	Zevadyahou	Zebaja	['1CH 8:17']
1393	זְבַדְיָה	PN	person	3	False	False	Zebadiah	Zicrí	Zevadyahou	Zebaja	['1CH 12:9']
1394	זְבַדְיָה	PN	person	4	False	False	Zebadiah	Zicrí	mouche	Zebaja	['1CH 27:7']
1395	זְבַדְיָה	PN	person	5	False	False	Zebadiah	Zicrí	Zavoud	Zebaja	['EZR 8:8', 'EZR 10:20']
1396	זְבַדְיָהוּ	PN	person	1	False	False	Zebadiah	Zacarías	Zevidda	lalat	['1CH 26:2']
1397	זְבַדְיָהוּ	PN	person	2	False	False	Zebadiah	Zacarías	Zabulon	Zabut	['2CH 17:8']
1398	זְבַדְיָהוּ	PN	person	3	False	False	Zebadiah	Zacarías	Zabulonite	Zebuda	['2CH 19:11']
1399	זְבוּב	FA	insects, spiders, and worms		False	False	fly	Zacarías	tuerie	Zebulon	['ECC 10:1', 'ISA 7:18']
1400	זָבוּד	PN	person		False	False	Zabud	Zacarías	Zèvah	orang Zebulon	['1KI 4:5']
1401	זְבוּדָּה	PN	person		False	False	Zebudah	Zacarías	Zabbaï	pengorbanan	['2KI 23:36']
1402	זְבוּלוּן	PN	person		False	False	Zebulun	Zacarías	Zevina	Zebah	['GEN 30:20', 'GEN 35:23', 'GEN 46:14', 'GEN 49:13', 'EXO 1:3', 'NUM 1:9', 'NUM 1:30', 'NUM 1:31', 'NUM 2:7', 'NUM 7:24', 'NUM 10:16', 'NUM 13:10', 'NUM 26:26', 'NUM 34:25', 'DEU 27:13', 'DEU 33:18', 'DEU 33:18', 'JOS 19:10', 'JOS 19:16', 'JOS 19:27', 'JOS 19:34', 'JOS 21:7', 'JOS 21:34', 'JDG 1:30', 'JDG 4:6', 'JDG 4:10', 'JDG 5:14', 'JDG 5:18', 'JDG 6:35', 'JDG 12:12', '1CH 2:1', '1CH 6:33', '1CH 6:47', '1CH 12:35', '1CH 12:41', '1CH 27:19', '2CH 30:10', '2CH 30:11', '2CH 30:18', 'PSA 68:29', 'ISA 8:23', 'EZK 48:26', 'EZK 48:27', 'EZK 48:33']
1403	זְבוּלוֹנִי	PN	group		False	False	Zebulunite	Zacarías	Zevoul	Zabai	['NUM 26:27', 'JDG 12:11', 'JDG 12:12']
1404	זֶבַח	RI	sacrifices and offerings	1	False	False	slaughtering	Zacarías	peau	Zebina	['GEN 31:54', 'GEN 46:1', 'EXO 10:25', 'EXO 12:27', 'EXO 18:12', 'EXO 23:18', 'EXO 24:5', 'EXO 29:28', 'EXO 34:15', 'EXO 34:25', 'EXO 34:25', 'LEV 3:1', 'LEV 3:3', 'LEV 3:6', 'LEV 3:9', 'LEV 4:10', 'LEV 4:26', 'LEV 4:31', 'LEV 4:35', 'LEV 7:11', 'LEV 7:12', 'LEV 7:13', 'LEV 7:15', 'LEV 7:16', 'LEV 7:16', 'LEV 7:17', 'LEV 7:18', 'LEV 7:20', 'LEV 7:21', 'LEV 7:29', 'LEV 7:29', 'LEV 7:32', 'LEV 7:34', 'LEV 7:37', 'LEV 9:18', 'LEV 10:14', 'LEV 17:5', 'LEV 17:5', 'LEV 17:7', 'LEV 17:8', 'LEV 19:5', 'LEV 19:6', 'LEV 22:21', 'LEV 22:29', 'LEV 23:19', 'LEV 23:37', 'NUM 6:17', 'NUM 6:18', 'NUM 7:17', 'NUM 7:23', 'NUM 7:29', 'NUM 7:35', 'NUM 7:41', 'NUM 7:47', 'NUM 7:53', 'NUM 7:59', 'NUM 7:65', 'NUM 7:71', 'NUM 7:77', 'NUM 7:83', 'NUM 7:88', 'NUM 10:10', 'NUM 15:3', 'NUM 15:5', 'NUM 15:8', 'NUM 25:2', 'DEU 12:6', 'DEU 12:11', 'DEU 12:27', 'DEU 18:3', 'DEU 32:38', 'DEU 33:19', 'JOS 22:23', 'JOS 22:26', 'JOS 22:27', 'JOS 22:28', 'JOS 22:29', 'JDG 16:23', '1SA 1:21', '1SA 2:13', '1SA 2:19', '1SA 2:29', '1SA 3:14', '1SA 6:15', '1SA 9:12', '1SA 9:13', '1SA 10:8', '1SA 11:15', '1SA 15:22', '1SA 15:22', '1SA 16:3', '1SA 16:5', '1SA 16:5', '1SA 20:6', '1SA 20:29', '2SA 15:12', '1KI 8:62', '1KI 8:63', '1KI 12:27', '2KI 5:17', '2KI 10:19', '2KI 10:24', '2KI 16:15', '1CH 29:21', '1CH 29:21', '2CH 7:1', '2CH 7:4', '2CH 7:5', '2CH 7:12', '2CH 29:31', '2CH 29:31', '2CH 30:22', '2CH 33:16', 'NEH 12:43', 'PSA 4:7', 'PSA 27:6', 'PSA 40:8', 'PSA 50:5', 'PSA 50:8', 'PSA 51:20', 'PSA 51:21', 'PSA 51:21', 'PSA 106:28', 'PSA 107:22', 'PSA 116:17', 'PRO 7:14', 'PRO 15:8', 'PRO 17:1', 'PRO 21:3', 'PRO 21:27', 'ECC 4:17', 'ISA 1:11', 'ISA 19:21', 'ISA 34:6', 'ISA 43:23', 'ISA 43:24', 'ISA 56:7', 'ISA 57:7', 'JER 6:20', 'JER 7:21', 'JER 7:22', 'JER 17:26', 'JER 33:18', 'JER 46:10', 'EZK 20:28', 'EZK 39:17', 'EZK 39:17', 'EZK 39:19', 'EZK 40:42', 'EZK 44:11', 'EZK 46:24', 'DAN 9:27', 'HOS 3:4', 'HOS 4:19', 'HOS 6:6', 'HOS 8:13', 'HOS 9:4', 'AMO 4:4', 'AMO 5:25', 'JON 1:16', 'ZEP 1:7', 'ZEP 1:8']
1405	זֶבַח	PN	person	2	False	False	Zebah	Zacarías	Zaham	Zebul	['JDG 8:5', 'JDG 8:6', 'JDG 8:7', 'JDG 8:10', 'JDG 8:12', 'JDG 8:15', 'JDG 8:18', 'JDG 8:21', 'PSA 83:13']
1406	זַבַּי	PN	person		False	False	Zabbai	Zacarías	Zouzite	kulit anggur	['EZR 10:28']
1407	זְבִינָא	PN	person		False	False	Zebina	Zacarías	Zoheth	Zaham	['EZR 10:43']
1408	זְבֻל	PN	person		False	False	Zebul	Zacarías	Zaza	Zuzim	['JDG 9:28', 'JDG 9:30', 'JDG 9:36', 'JDG 9:38', 'JDG 9:41']
1409	זָג	FL	parts		False	False	skin	Zacarías	ramper	Zohet	['NUM 6:4']
1410	זַהַם	PN	person		False	False	Zaham	Zacarías	Ziza	Zaza	['2CH 11:19']
1411	זוּזִים	PN	group		False	False	Zuzim	Zacarías	Ziza	binatang melata	['GEN 14:5']
1412	זוֹחֵת	PN	person		False	False	Zoheth	Zacarías	Ziza	Ziza	['1CH 4:20']
1413	זָזָא	PN	person		False	False	Zaza	Zacarías	Ziza	Ziza	['1CH 2:33']
1414	זחל	FA	snakes and lizards		False	False	reptile	Zacarías	Zia	Ziza	['DEU 32:24', 'MIC 7:17']
1415	זִיזָא	PN	person	1	False	False	Ziza	Zilpá	Zif	Zina	['1CH 4:37']
1416	זִיזָא	PN	person	2	False	False	Ziza	Zimá	Zif	Ziya	['2CH 11:20']
1417	זִיזָה	PN	person		False	False	Zizah	Zimá	Zif	Zif	['1CH 23:11']
1418	זִינָא	PN	person		False	False	Zina	Zimá	Zifa	Zif	['1CH 23:10']
1419	זִיעַ	PN	person		False	False	Zia	Rama	de Zif	Zif	['1CH 5:13']
1420	זִיף	PN	locale	1	False	False	Ziph	zamzumitas	olivier	Zifa	['JOS 15:24']
1421	זִיף	PN	settlement	2	False	False	Ziph	Zemirá	Zétân	orang Zifi	['JOS 15:55', '1SA 23:14', '1SA 23:15', '1SA 23:24', '1SA 26:2', '1CH 2:42', '2CH 11:8']
1422	זִיף	PN	person	3	False	False	Ziph	Zimrí	Zakkour	pohon zaitun	['1CH 4:16']
1423	זִיפָה	PN	person		False	False	Ziphah	Zimrí	Zakkour	Zetan	['1CH 4:16']
1424	זִיפִים	PN	group		False	False	Ziphites	Zimrí	Zakkour	Zakur	['1SA 23:19', '1SA 26:1', 'PSA 54:4']
1425	זַיִת	FL	trees		False	False	olive tree	Zimrí	Zakkour	Zakur	['GEN 8:11', 'EXO 23:11', 'EXO 27:20', 'EXO 30:24', 'LEV 24:2', 'DEU 6:11', 'DEU 8:8', 'DEU 24:20', 'DEU 28:40', 'DEU 28:40', 'JOS 24:13', 'JDG 9:8', 'JDG 9:9', 'JDG 15:5', '1SA 8:14', '2SA 15:30', '2KI 5:26', '2KI 18:32', '1CH 27:28', 'NEH 5:11', 'NEH 8:15', 'NEH 9:25', 'JOB 15:33', 'PSA 52:10', 'PSA 128:3', 'ISA 17:6', 'ISA 24:13', 'JER 11:16', 'HOS 14:8', 'AMO 4:9', 'MIC 6:15', 'HAB 3:17', 'HAG 2:19', 'ZEC 4:3', 'ZEC 4:11', 'ZEC 4:12', 'ZEC 14:4', 'ZEC 14:4']
1426	זֵיתָן	PN	person		False	False	Zetan	Zimrí	Zakkour	Zakur	['1CH 7:10']
1427	זַכּוּר	PN	person	1	False	False	Zaccur	Zimrán	Zakkour	Zakur	['NUM 13:4']
1428	זַכּוּר	PN	person	2	False	False	Zaccur	prostituirse	Zakkaï	Zakur	['1CH 4:26']
1429	זַכּוּר	PN	person	3	False	False	Zaccur	Zanóah	Zèkèr	Zabud	['1CH 24:27']
1430	זַכּוּר	PN	person	4	False	False	Zaccur	Zaaván	Zikri	Zakai	['1CH 25:2', '1CH 25:10']
1431	זַכּוּר	PN	person	5	False	False	Zaccur	Zifrón	Zikri	Zekher	['NEH 3:2', 'NEH 10:14', 'NEH 12:35', 'NEH 13:13']
1432	זַכּוּר	PN	person	6	False	False	Zaccur	anciano	Zikri	Zikhri	['EZR 8:14']
1433	זַכַּי	PN	person		False	False	Zakkai	extraño	Zikri	Zikhri	['EZR 2:9', 'NEH 3:20', 'NEH 7:14']
1434	זֶכֶר	PN	person		False	False	Zecher	Zorobabel	Zikri	Zikhri	['1CH 8:31']
1435	זִכְרִי	PN	person	1	False	False	Zichri	Zorobabel	Zikri	Zikhri	['EXO 6:21', '2CH 17:16', '2CH 23:1', '2CH 28:7', 'NEH 11:9', 'NEH 12:17']
1436	זִכְרִי	PN	person	2	False	False	Zichri	Zéred	Zikri	Zikhri	['1CH 8:19']
1437	זִכְרִי	PN	person	3	False	False	Zichri	aventar	Zekarya	Zikhri	['1CH 8:23']
1438	זִכְרִי	PN	person	4	False	False	Zichri	gallo	Zekarya	Zikhri	['1CH 8:27']
1439	זִכְרִי	PN	person	5	False	False	Zichri	Zérah	Zekarya	Zakharia	['1CH 9:15']
1440	זִכְרִי	PN	person	6	False	False	Zichri	Zérah	Zekarya	Zakharia	['1CH 26:25']
1441	זִכְרִי	PN	person	7	False	False	Zichri	Zérah	Zekarya	Zakharia	['1CH 27:16']
1442	זְכַרְיָה	PN	person	1	False	False	Zechariah	Zérah	Zekarya	Zakharia	['2KI 14:29', '2KI 15:11']
1443	זְכַרְיָה	PN	person	2	False	False	Zechariah	Zérah	Zekarya	Zakharia	['2KI 18:2']
1444	זְכַרְיָה	PN	person	3	False	False	Zechariah	Zérah	Zekaryahou	Zakharia	['1CH 9:21', '1CH 15:20', '1CH 16:5', '2CH 24:20', '2CH 34:12', 'NEH 11:12', 'NEH 12:16', 'NEH 12:35']
1445	זְכַרְיָה	PN	person	4	False	False	Zechariah	Zérah	Zekaryahou	Zakharia	['1CH 9:37']
1446	זְכַרְיָה	PN	person	5	False	False	Zechariah	Zérah	Zekaryahou	Zakharia	['2CH 17:7']
1447	זְכַרְיָה	PN	person	6	False	False	Zechariah	Zérah	Zekaryahou	Zakharia	['EZR 5:1', 'EZR 6:14', 'ZEC 1:1', 'ZEC 1:7', 'ZEC 7:1', 'ZEC 7:8']
1448	זְכַרְיָה	PN	person	7	False	False	Zechariah	Zeraías	Zekaryahou	Zakharia	['EZR 8:3', 'EZR 8:11', 'EZR 8:16', 'EZR 10:26', 'NEH 8:4', 'NEH 11:4', 'NEH 11:5', 'NEH 12:16', 'NEH 12:41']
1449	זְכַרְיָהוּ	PN	person	1	False	False	Zechariah	Zeraías	Zekaryahou	Zakharia	['2KI 15:8']
1450	זְכַרְיָהוּ	PN	person	2	False	False	Zechariah	Zeres	Zekaryahou	Zakharia	['1CH 5:7']
1451	זְכַרְיָהוּ	PN	person	3	False	False	Zechariah	Zatú	Zekaryahou	Zakharia	['1CH 15:24']
1452	זְכַרְיָהוּ	PN	person	4	False	False	Zechariah	Zetam	Zekaryahou	Zakharia	['1CH 26:2', '1CH 26:14']
1453	זְכַרְיָהוּ	PN	person	5	False	False	Zechariah	Zetar	Zekaryahou	Zakharia	['1CH 27:21']
1454	זְכַרְיָהוּ	PN	person	6	False	False	Zechariah	Hobab	Zekaryahou	Zakharia	['2CH 20:14']
1455	זְכַרְיָהוּ	PN	person	7	False	False	Zechariah	Jehubá	Zekaryahou	Zakharia	['2CH 21:2']
1456	זְכַרְיָהוּ	PN	person	8	False	False	Zechariah	Habor	Zilpa	Zakharia	['2CH 26:5']
1457	זְכַרְיָהוּ	PN	person	9	False	False	Zechariah	Hobaías	Zimma	Zakharia	['2CH 29:1']
1458	זְכַרְיָהוּ	PN	person	10	False	False	Zechariah	cuerda	Zimma	Zilpa	['2CH 29:13']
1459	זְכַרְיָהוּ	PN	person	11	False	False	Zechariah	medida de cuerda	Zimma	Zima	['2CH 35:8']
1460	זְכַרְיָהוּ	PN	person	12	False	False	Zechariah	Habasinías	branche	Zima	['ISA 8:2']
1461	זִלְפָּה	PN	person		False	False	Zilpah	Habacuc	Zamzoummites	Zima	['GEN 29:24', 'GEN 30:9', 'GEN 30:10', 'GEN 30:12', 'GEN 35:26', 'GEN 37:2', 'GEN 46:18']
1462	זִמָּה	PN	person	1	False	False	Zimmah	Héber	Zemira	cabang atau ranting pokok anggur	['1CH 5:31']
1463	זִמָּה	PN	person	2	False	False	Zimmah	Héber	Zimri	orang Zamzumim	['1CH 6:12']
1464	זִמָּה	PN	person	3	False	False	Zimmah	Héber	Zimri	Zemira	['2CH 29:12']
1465	זְמוֹרָה	FL	parts		False	False	branch of a vine	Héber	Zimri	Zimri	['NUM 13:23', 'ISA 17:10', 'EZK 8:17', 'EZK 15:2', 'NAM 2:4']
1466	זַמְזֻמִּים	PN	group		False	False	Zamzummites	Hebrón	Zimri	Zimri	['DEU 2:20']
1467	זְמִירָה	PN	person		False	False	Zemirah	Hebrón	Zimri	Zimri	['1CH 7:8']
1468	זִמְרִי	PN	person	1	False	False	Zimri	Hebrón	Zimrân	Zimri	['1KI 16:9', '1KI 16:10', '1KI 16:12', '1KI 16:15', '1KI 16:16', '1KI 16:18', '1KI 16:20', '2KI 9:31']
1469	זִמְרִי	PN	person	2	False	False	Zimri	Hebronita	se prostituer	Zimri	['NUM 25:14']
1470	זִמְרִי	PN	person	3	False	False	Zimri	Héber	Zanoah	Zimran	['1CH 2:6']
1471	זִמְרִי	PN	person	4	False	False	Zimri	fiesta de la cosecha	Zaawân	berlaku sebagai pelacur	['1CH 8:36', '1CH 9:42']
1472	זִמְרִי	PN	group	5	False	False	Zimri	fiesta de los panes sin levadura	Zifrôn	Zanoah	['JER 25:25']
1473	זִמְרָן	PN	person		False	False	Zimran	fiesta de los tabernáculos	ancien	Zaawan	['GEN 25:2', '1CH 1:32']
1474	זנה	AT	morals and ethics		False	False	play the prostitute	festival de las cosechas	étrange	Zifron	['GEN 38:24', 'EXO 34:15', 'EXO 34:16', 'EXO 34:16', 'LEV 17:7', 'LEV 19:29', 'LEV 19:29', 'LEV 19:29', 'LEV 20:5', 'LEV 20:5', 'LEV 20:6', 'LEV 21:9', 'NUM 15:39', 'NUM 25:1', 'DEU 22:21', 'DEU 31:16', 'JDG 2:17', 'JDG 8:27', 'JDG 8:33', 'JDG 19:2', '1CH 5:25', '2CH 21:11', '2CH 21:13', '2CH 21:13', 'PSA 73:27', 'PSA 106:39', 'ISA 23:17', 'ISA 57:3', 'JER 3:1', 'JER 3:6', 'JER 3:8', 'EZK 6:9', 'EZK 6:9', 'EZK 16:15', 'EZK 16:16', 'EZK 16:17', 'EZK 16:26', 'EZK 16:28', 'EZK 16:28', 'EZK 16:34', 'EZK 20:30', 'EZK 23:3', 'EZK 23:3', 'EZK 23:3', 'EZK 23:5', 'EZK 23:19', 'EZK 23:30', 'EZK 23:43', 'EZK 23:43', 'HOS 1:2', 'HOS 1:2', 'HOS 2:9', 'HOS 3:3', 'HOS 4:10', 'HOS 4:12', 'HOS 4:13', 'HOS 4:14', 'HOS 4:15', 'HOS 4:18', 'HOS 4:18', 'HOS 5:3', 'HOS 9:1', 'AMO 7:17']
1475	זָנוֹחַ	PN	settlement		False	False	Zanoah	fiesta de las semanas	Zorobabel	lebih tua	['JOS 15:34', 'JOS 15:56', '1CH 4:18', 'NEH 3:13', 'NEH 11:30']
1476	זַעֲוָן	PN	person		False	False	Zaavan	saltamonte	Zorobabel	orang awam	['GEN 36:27', '1CH 1:42']
1477	זִפְרֹן	PN	locale		False	False	Ziphron	Hagab	Zéred	Zerubabel	['NUM 34:9']
1478	זָקֵן	BE	people; authority; honor, respect, status		False	False	elder	Hagabá	disperser	Zerubabel	['GEN 50:7', 'GEN 50:7', 'EXO 3:16', 'EXO 3:18', 'EXO 4:29', 'EXO 12:21', 'EXO 17:5', 'EXO 17:6', 'EXO 18:12', 'EXO 19:7', 'EXO 24:1', 'EXO 24:9', 'EXO 24:14', 'LEV 4:15', 'LEV 9:1', 'NUM 11:16', 'NUM 11:16', 'NUM 11:24', 'NUM 11:25', 'NUM 11:30', 'NUM 16:25', 'NUM 22:4', 'NUM 22:7', 'NUM 22:7', 'DEU 5:23', 'DEU 19:12', 'DEU 21:2', 'DEU 21:3', 'DEU 21:4', 'DEU 21:6', 'DEU 21:19', 'DEU 21:20', 'DEU 22:15', 'DEU 22:16', 'DEU 22:17', 'DEU 22:18', 'DEU 25:7', 'DEU 25:8', 'DEU 25:9', 'DEU 27:1', 'DEU 29:8', 'DEU 31:9', 'DEU 31:28', 'DEU 32:7', 'JOS 7:6', 'JOS 8:10', 'JOS 8:33', 'JOS 9:11', 'JOS 20:4', 'JOS 23:2', 'JOS 24:1', 'JOS 24:31', 'JDG 2:7', 'JDG 8:14', 'JDG 8:16', 'JDG 11:5', 'JDG 11:7', 'JDG 11:8', 'JDG 11:9', 'JDG 11:10', 'JDG 11:11', 'JDG 21:16', 'RUT 4:2', 'RUT 4:4', 'RUT 4:9', 'RUT 4:11', '1SA 4:3', '1SA 8:4', '1SA 11:3', '1SA 15:30', '1SA 16:4', '1SA 30:26', '2SA 3:17', '2SA 5:3', '2SA 12:17', '2SA 17:4', '2SA 17:15', '2SA 19:13', '1KI 8:1', '1KI 8:3', '1KI 20:7', '1KI 20:8', '1KI 21:8', '1KI 21:11', '2KI 6:32', '2KI 6:32', '2KI 10:1', '2KI 10:5', '2KI 23:1', '1CH 11:3', '1CH 15:25', '1CH 21:16', '2CH 5:2', '2CH 5:4', '2CH 34:29', 'EZR 10:8', 'EZR 10:14', 'JOB 12:20', 'PSA 105:22', 'PSA 107:32', 'PRO 31:23', 'ISA 3:2', 'ISA 3:5', 'ISA 3:14', 'ISA 9:13', 'ISA 24:23', 'JER 19:1', 'JER 19:1', 'JER 26:17', 'JER 29:1', 'LAM 1:19', 'LAM 2:10', 'LAM 4:16', 'LAM 4:16', 'LAM 5:12', 'EZK 7:26', 'EZK 8:1', 'EZK 8:11', 'EZK 8:12', 'EZK 9:6', 'EZK 9:6', 'EZK 14:1', 'EZK 20:1', 'EZK 20:3', 'EZK 27:9', 'JOL 1:14', 'JOL 2:16']
1479	זָר	BE	people; association; hostility, strife		False	False	alien	Hageo	coq	Zered	['EXO 29:33', 'EXO 30:33', 'LEV 22:10', 'LEV 22:12', 'LEV 22:13', 'NUM 1:51', 'NUM 3:10', 'NUM 3:38', 'NUM 17:20', 'NUM 18:4', 'NUM 18:7', 'DEU 25:5', '1KI 3:18', 'JOB 15:19', 'JOB 19:15', 'JOB 19:27', 'PSA 54:7', 'PSA 109:11', 'PRO 5:10', 'PRO 5:17', 'PRO 6:1', 'PRO 11:15', 'PRO 14:10', 'PRO 20:16', 'PRO 27:2', 'PRO 27:13', 'ISA 1:7', 'ISA 1:7', 'ISA 17:10', 'ISA 25:2', 'ISA 25:5', 'ISA 29:5', 'ISA 43:12', 'ISA 61:5', 'JER 2:25', 'JER 3:13', 'JER 5:19', 'JER 30:8', 'JER 51:2', 'JER 51:51', 'LAM 5:2', 'EZK 7:21', 'EZK 11:9', 'EZK 16:32', 'EZK 28:7', 'EZK 28:10', 'EZK 30:12', 'EZK 31:12', 'HOS 7:9', 'HOS 8:7', 'JOL 4:17', 'OBA 1:11']
1480	זְרֻבָּבֶל	PN	person		True	False	Zerubbabel	Hageo	Zérah	menampi	['EZR 5:2']
1481	זְרֻבָּבֶל	PN	person		False	False	Zerubbabel	Haguí	Zérah	ayam jantan	['1CH 3:19', '1CH 3:19', 'EZR 2:2', 'EZR 3:2', 'EZR 3:8', 'EZR 4:2', 'EZR 4:3', 'NEH 7:7', 'NEH 12:1', 'NEH 12:47', 'HAG 1:1', 'HAG 1:12', 'HAG 1:14', 'HAG 2:2', 'HAG 2:4', 'HAG 2:21', 'HAG 2:23', 'ZEC 4:6', 'ZEC 4:7', 'ZEC 4:9', 'ZEC 4:10']
1482	זֶרֶד	PN	nature		False	False	Zered	Haguí	Zérah	Zerah	['NUM 21:12', 'DEU 2:13', 'DEU 2:14']
1483	זרה	RE	agriculture		False	False	to winnow	Haguías	Zérah	Zerah	['RUT 3:2', 'PRO 20:8', 'PRO 20:26', 'ISA 30:24', 'ISA 41:16', 'JER 4:11', 'JER 15:7', 'JER 51:2']
1484	זַרְזִיר	FA	birds; domestic animals		False	False	rooster	Haguit	Zérah	Zerah	['PRO 30:31']
1485	זֶרַח	PN	person	1	False	False	Zerah	Hoglá	Zérah	Zerah	['GEN 36:13', 'GEN 36:17', '1CH 1:37']
1486	זֶרַח	PN	person	2	False	False	Zerah	Temá	Zérah	Zerah	['GEN 38:30', 'GEN 46:12', 'NUM 26:20', 'JOS 7:1', 'JOS 7:18', 'JOS 7:24', 'JOS 22:20', '1CH 2:4', '1CH 2:6', '1CH 9:6', 'NEH 11:24']
1487	זֶרַח	PN	person	3	False	False	Zerah	Hadid	Zarhites	Zerah	['GEN 36:33', '1CH 1:44']
1488	זֶרַח	PN	person	4	False	False	Zerah	Hadlai	Zarhites	Zerah	['NUM 26:13', '1CH 4:24']
1489	זֶרַח	PN	person	5	False	False	Zerah	espina	Zerahya	Zerah	['1CH 5:32']
1490	זֶרַח	PN	person	6	False	False	Zerah	Tigris	Zerahya	Zerah	['1CH 6:11']
1491	זֶרַח	PN	person	7	False	False	Zerah	Hadrac	Zèresh	Zerahya	['2CH 14:7']
1492	זַרְחִי	PN	group	1	False	False	Zerahite	luna nueva	Zattou	Zerahya	['NUM 26:13']
1493	זַרְחִי	PN	group	2	False	False	Zerahite	Hodes	Zétam	Zeresh	['NUM 26:20', 'JOS 7:17', 'JOS 7:17', '1CH 27:11', '1CH 27:13']
1494	זְרַחְיָה	PN	person	1	False	False	Zerahiah	Hadasá	Zétar	Zatu	['1CH 5:32', '1CH 6:21', 'EZR 7:4']
1495	זְרַחְיָה	PN	person	2	False	False	Zerahiah	Hobá	Hobab	Zetam	['EZR 8:4']
1496	זֶרֶשׁ	PN	person		False	False	Zeresh	Eva	Yehoubba	Zetar	['EST 5:10', 'EST 5:14', 'EST 6:13']
1497	זַתּוּא	PN	person		False	False	Zattu	espino	Habor	Hobab	['EZR 2:8', 'EZR 10:27', 'NEH 7:13', 'NEH 10:16']
1498	זֵתָם	PN	person		False	False	Zetam	gancho	Hovaya	Yehuba	['1CH 23:8', '1CH 26:22']
1499	זֵתַר	PN	person		False	False	Zethar	hilo	corde	sungai Habor	['EST 1:10']
1500	חֹבָב	PN	person		False	False	Hobab	medida de cuerda	corde pour mesurer	Habaya	['NUM 10:29', 'JDG 4:11']
1501	חֻבָּה	PN	person		False	False	Jehubbah	Heveos	Havacinya	tali jerat	['1CH 7:34']
1502	חָבוֹר	PN	nature		False	False	Habor	Havilá	Habaquq	tali pengukur	['2KI 17:6', '2KI 18:11', '1CH 5:26']
1503	חֲבַיָּה	PN	person		False	False	Habaiah	Hul	Héber	Habazinya	['EZR 2:61', 'NEH 7:63']
1504	חֶבֶל	RE	tools; hunting and fishing	1	False	False	noose	Holón	Héber	Habakuk	['JOB 18:10', 'PSA 119:61', 'PSA 140:7']
1505	חֶבֶל	RE	cords; tools; size	2	False	False	measuring rope	Holón	Héber	Heber	['2SA 8:2', '2SA 8:2', '2SA 8:2', 'PSA 16:6', 'PSA 78:55', 'AMO 7:17', 'MIC 2:5', 'ZEC 2:9']
1506	חֲבַצִּנְיָה	PN	person		False	False	Habazziniah	Hufam	Héber	Heber	['JER 35:3']
1507	חֲבַקּוּק	PN	person		False	False	Habakkuk	Hufam	Hébron	Heber	['HAB 1:1', 'HAB 3:1']
1508	חֶבֶר	PN	person	1	False	False	Heber	Hucoc	Hébron	Heber	['GEN 46:17', 'NUM 26:45', '1CH 7:31', '1CH 7:32']
