	vrefs
2269	['1CH 4:36']
2270	['1CH 1:42']
2271	['1CH 9:42']
2272	['2SA 21:19']
2273	['1CH 8:27']
2274	['EZR 10:37']
2275	['1CH 11:47']
2276	['1CH 27:21']
2277	['1CH 8:25']
2278	['JOS 19:46', '2CH 2:14', 'EZR 3:7', 'JON 1:3']
2279	['JOS 10:3']
2280	['JOS 19:12']
2281	['2SA 5:15', '1CH 3:7', '1CH 14:6']
2282	['1CH 7:32', '1CH 7:33']
2283	['JOS 16:3']
2284	['NUM 13:6', 'NUM 14:6', 'NUM 14:30', 'NUM 14:38', 'NUM 26:65', 'NUM 32:12', 'NUM 34:19', 'DEU 1:36', 'JOS 14:6', 'JOS 14:13', 'JOS 14:14', 'JOS 15:13', 'JOS 21:12', '1CH 4:15', '1CH 6:26']
2285	['1CH 7:38']
2286	['GEN 5:32', 'GEN 6:10', 'GEN 7:13', 'GEN 9:18', 'GEN 9:23', 'GEN 9:27', 'GEN 10:1', 'GEN 10:2', 'GEN 10:21', '1CH 1:4', '1CH 1:5']
2287	['JOS 15:43']
2288	['JDG 11:1', 'JDG 11:1', 'JDG 11:2', 'JDG 11:3', 'JDG 11:3', 'JDG 11:5', 'JDG 11:6', 'JDG 11:7', 'JDG 11:8', 'JDG 11:9', 'JDG 11:10', 'JDG 11:11', 'JDG 11:11', 'JDG 11:12', 'JDG 11:13', 'JDG 11:14', 'JDG 11:15', 'JDG 11:28', 'JDG 11:29', 'JDG 11:30', 'JDG 11:32', 'JDG 11:34', 'JDG 11:40', 'JDG 12:1', 'JDG 12:2', 'JDG 12:4', 'JDG 12:7', 'JDG 12:7', '1SA 12:11']
2289	['NUM 27:17', 'DEU 31:2', 'JOS 14:11', '1SA 18:13', '1SA 18:16', '1KI 3:7', '2CH 1:10']
2290	['NUM 18:12', 'DEU 7:13', 'DEU 11:14', 'DEU 12:17', 'DEU 14:23', 'DEU 18:4', 'DEU 28:51', '2KI 18:32', '2CH 31:5', '2CH 32:28', 'NEH 5:11', 'NEH 10:39', 'NEH 10:40', 'NEH 13:5', 'NEH 13:12', 'JER 31:12', 'HOS 2:12', 'HOS 2:24', 'JOL 1:10', 'JOL 2:19', 'JOL 2:24', 'HAG 1:11', 'ZEC 4:14']
2291	['EXO 6:18', 'EXO 6:21', 'NUM 3:19', 'NUM 16:1', '1CH 5:28', '1CH 5:29', '1CH 6:8', '1CH 23:12', '1CH 23:18']
2292	['NUM 3:27', '1CH 24:22', '1CH 26:23', '1CH 26:29']
2293	['GEN 17:19', 'GEN 17:21', 'GEN 21:3', 'GEN 21:4', 'GEN 21:5', 'GEN 21:8', 'GEN 21:10', 'GEN 21:12', 'GEN 22:2', 'GEN 22:3', 'GEN 22:6', 'GEN 22:7', 'GEN 22:9', 'GEN 24:4', 'GEN 24:14', 'GEN 24:62', 'GEN 24:63', 'GEN 24:64', 'GEN 24:66', 'GEN 24:67', 'GEN 24:67', 'GEN 25:5', 'GEN 25:6', 'GEN 25:9', 'GEN 25:11', 'GEN 25:11', 'GEN 25:19', 'GEN 25:19', 'GEN 25:20', 'GEN 25:21', 'GEN 25:26', 'GEN 25:28', 'GEN 26:1', 'GEN 26:6', 'GEN 26:8', 'GEN 26:9', 'GEN 26:9', 'GEN 26:12', 'GEN 26:16', 'GEN 26:17', 'GEN 26:18', 'GEN 26:19', 'GEN 26:20', 'GEN 26:25', 'GEN 26:27', 'GEN 26:31', 'GEN 26:32', 'GEN 26:35', 'GEN 27:1', 'GEN 27:5', 'GEN 27:20', 'GEN 27:21', 'GEN 27:22', 'GEN 27:26', 'GEN 27:30', 'GEN 27:30', 'GEN 27:32', 'GEN 27:33', 'GEN 27:37', 'GEN 27:39', 'GEN 27:46', 'GEN 28:1', 'GEN 28:5', 'GEN 28:6', 'GEN 28:8', 'GEN 28:13', 'GEN 31:18', 'GEN 31:42', 'GEN 31:53', 'GEN 32:11', 'GEN 35:12', 'GEN 35:27', 'GEN 35:27', 'GEN 35:28', 'GEN 35:29', 'GEN 46:1', 'GEN 48:15', 'GEN 48:16', 'GEN 49:31', 'GEN 50:24', 'EXO 2:24', 'EXO 3:6', 'EXO 3:15', 'EXO 3:16', 'EXO 4:5', 'EXO 6:3', 'EXO 6:8', 'EXO 32:13', 'EXO 33:1', 'LEV 26:42', 'NUM 32:11', 'DEU 1:8', 'DEU 6:10', 'DEU 9:5', 'DEU 9:27', 'DEU 29:11', 'DEU 30:20', 'DEU 34:4', 'JOS 24:3', 'JOS 24:4', '1KI 18:36', '2KI 13:23', '1CH 1:28', '1CH 1:34', '1CH 1:34', '1CH 16:16', '1CH 29:18', '2CH 30:6']
2294	['GEN 46:24', 'NUM 26:49', '1CH 7:13']
2295	['2SA 17:28', '1CH 4:23', 'PSA 2:9', 'ISA 29:16', 'ISA 30:14', 'ISA 41:25', 'JER 18:2', 'JER 18:3', 'JER 18:4', 'JER 18:4', 'JER 18:6', 'JER 18:6', 'JER 19:1', 'JER 19:11', 'LAM 4:2']
2296	['NUM 26:49']
2297	['1CH 25:11']
2298	['PRO 3:10', 'JOL 2:24', 'JOL 4:13', 'HAG 2:16']
2299	['NUM 18:27', 'NUM 18:30', 'DEU 15:14', 'DEU 16:13', '2KI 6:27', 'JOB 24:11', 'ISA 5:2', 'ISA 16:10', 'JER 48:33', 'HOS 9:2', 'ZEC 14:10']
2300	['NEH 11:25']
2301	['JOS 15:56']
2302	['PRO 30:1']
2303	['PSA 91:3', 'PRO 6:5', 'JER 5:26', 'HOS 9:8']
2304	['1CH 4:18']
2305	['GEN 10:25', 'GEN 10:26', 'GEN 10:29', '1CH 1:19', '1CH 1:20', '1CH 1:23']
2306	['1CH 8:19']
2307	['1CH 24:12']
2308	['1CH 2:41']
2309	['1CH 3:18']
2310	['1CH 6:38']
2311	['1KI 4:12']
2312	['1CH 23:19', '1CH 24:23']
2313	['JOS 12:22', 'JOS 19:11', 'JOS 21:34']
2314	['DEU 7:25', 'PSA 124:7', 'PSA 141:9', 'PRO 6:2', 'ECC 9:12', 'ISA 8:15', 'ISA 28:13', 'JER 50:24']
2315	['GEN 25:2', 'GEN 25:3', '1CH 1:32']
2316	['JOS 15:38']
2317	['2KI 14:7']
2318	['GEN 3:10', 'GEN 15:1', 'GEN 18:15', 'GEN 19:30', 'GEN 20:8', 'GEN 21:17', 'GEN 26:7', 'GEN 26:24', 'GEN 28:17', 'GEN 28:17', 'GEN 31:31', 'GEN 32:9', 'GEN 35:17', 'GEN 42:35', 'GEN 43:18', 'GEN 43:23', 'GEN 46:3', 'GEN 50:19', 'GEN 50:21', 'EXO 1:17', 'EXO 1:21', 'EXO 2:14', 'EXO 3:6', 'EXO 9:30', 'EXO 14:10', 'EXO 14:13', 'EXO 14:31', 'EXO 15:11', 'EXO 20:20', 'EXO 34:10', 'EXO 34:30', 'LEV 19:3', 'LEV 19:14', 'LEV 19:30', 'LEV 19:32', 'LEV 25:17', 'LEV 25:36', 'LEV 25:43', 'LEV 26:2', 'NUM 12:8', 'NUM 14:9', 'NUM 14:9', 'NUM 21:34', 'DEU 1:19', 'DEU 1:21', 'DEU 1:29', 'DEU 2:4', 'DEU 3:2', 'DEU 3:22', 'DEU 4:10', 'DEU 5:5', 'DEU 5:29', 'DEU 6:2', 'DEU 6:13', 'DEU 6:24', 'DEU 7:18', 'DEU 7:21', 'DEU 8:6', 'DEU 8:15', 'DEU 10:12', 'DEU 10:17', 'DEU 10:20', 'DEU 10:21', 'DEU 13:6', 'DEU 13:13', 'DEU 14:23', 'DEU 17:13', 'DEU 17:19', 'DEU 19:20', 'DEU 20:1', 'DEU 20:3', 'DEU 21:21', 'DEU 25:18', 'DEU 28:10', 'DEU 28:58', 'DEU 28:58', 'DEU 31:6', 'DEU 31:8', 'DEU 31:12', 'DEU 31:13', 'JOS 4:14', 'JOS 4:14', 'JOS 4:24', 'JOS 8:1', 'JOS 9:24', 'JOS 10:2', 'JOS 10:8', 'JOS 10:25', 'JOS 11:6', 'JOS 22:25', 'JOS 24:14', 'JDG 4:18', 'JDG 6:10', 'JDG 6:23', 'JDG 6:27', 'JDG 7:10', 'JDG 8:20', 'JDG 13:6', 'RUT 3:11', '1SA 3:15', '1SA 4:7', '1SA 4:20', '1SA 7:7', '1SA 12:14', '1SA 12:18', '1SA 12:20', '1SA 12:24', '1SA 14:26', '1SA 15:24', '1SA 17:11', '1SA 17:24', '1SA 18:12', '1SA 18:29', '1SA 21:14', '1SA 22:23', '1SA 23:17', '1SA 28:5', '1SA 28:13', '1SA 28:20', '1SA 31:4', '2SA 1:14', '2SA 3:11', '2SA 6:9', '2SA 7:23', '2SA 9:7', '2SA 10:19', '2SA 12:18', '2SA 13:28', '2SA 14:15', '1KI 1:50', '1KI 1:51', '1KI 3:28', '1KI 8:40', '1KI 8:43', '1KI 17:13', '2KI 1:15', '2KI 6:16', '2KI 10:4', '2KI 17:7', '2KI 17:25', '2KI 17:28', '2KI 17:35', '2KI 17:36', '2KI 17:37', '2KI 17:38', '2KI 17:39', '2KI 19:6', '2KI 25:24', '2KI 25:26', '1CH 10:4', '1CH 13:12', '1CH 16:25', '1CH 17:21', '1CH 22:13', '1CH 28:20', '2CH 6:31', '2CH 6:33', '2CH 20:3', '2CH 20:15', '2CH 20:17', '2CH 32:7', '2CH 32:18', 'NEH 1:5', 'NEH 1:11', 'NEH 2:2', 'NEH 4:2', 'NEH 4:2', 'NEH 6:9', 'NEH 6:13', 'NEH 6:14', 'NEH 6:16', 'NEH 6:19', 'NEH 7:2', 'NEH 9:32', 'JOB 1:9', 'JOB 5:21', 'JOB 5:22', 'JOB 6:21', 'JOB 9:35', 'JOB 11:15', 'JOB 32:6', 'JOB 37:22', 'JOB 37:24', 'PSA 3:8', 'PSA 23:4', 'PSA 27:1', 'PSA 27:3', 'PSA 33:8', 'PSA 34:11', 'PSA 40:5', 'PSA 45:6', 'PSA 46:4', 'PSA 47:4', 'PSA 49:7', 'PSA 49:18', 'PSA 52:10', 'PSA 55:21', 'PSA 56:5', 'PSA 56:6', 'PSA 56:13', 'PSA 64:6', 'PSA 64:11', 'PSA 65:7', 'PSA 65:10', 'PSA 66:3', 'PSA 66:5', 'PSA 67:8', 'PSA 68:36', 'PSA 72:5', 'PSA 76:9', 'PSA 76:10', 'PSA 76:13', 'PSA 86:11', 'PSA 89:9', 'PSA 91:5', 'PSA 96:4', 'PSA 99:3', 'PSA 102:17', 'PSA 106:22', 'PSA 111:9', 'PSA 112:7', 'PSA 112:8', 'PSA 118:6', 'PSA 119:63', 'PSA 119:120', 'PSA 130:4', 'PSA 139:14', 'PSA 145:6', 'PRO 3:7', 'PRO 3:25', 'PRO 14:16', 'PRO 24:21', 'PRO 31:21', 'ECC 3:14', 'ECC 5:5', 'ECC 8:12', 'ECC 12:5', 'ECC 12:13', 'ISA 7:4', 'ISA 8:12', 'ISA 10:24', 'ISA 18:2', 'ISA 18:7', 'ISA 21:1', 'ISA 25:3', 'ISA 29:13', 'ISA 35:4', 'ISA 37:6', 'ISA 40:9', 'ISA 41:5', 'ISA 41:10', 'ISA 41:13', 'ISA 41:14', 'ISA 43:1', 'ISA 43:5', 'ISA 44:2', 'ISA 51:7', 'ISA 51:12', 'ISA 54:4', 'ISA 54:14', 'ISA 57:11', 'ISA 57:11', 'ISA 59:19', 'ISA 64:1', 'JER 1:8', 'JER 3:8', 'JER 5:22', 'JER 5:24', 'JER 10:5', 'JER 10:7', 'JER 17:8', 'JER 23:4', 'JER 26:21', 'JER 30:10', 'JER 32:39', 'JER 40:9', 'JER 41:18', 'JER 42:11', 'JER 42:11', 'JER 44:10', 'JER 46:27', 'JER 46:28', 'JER 51:46', 'LAM 3:57', 'EZK 1:22', 'EZK 2:6', 'EZK 2:6', 'EZK 2:6', 'EZK 3:9', 'EZK 11:8', 'DAN 9:4', 'DAN 10:12', 'DAN 10:19', 'HOS 10:3', 'JOL 2:11', 'JOL 2:21', 'JOL 2:22', 'JOL 4:4', 'AMO 3:8', 'JON 1:5', 'JON 1:10', 'JON 1:16', 'MIC 7:17', 'HAB 1:7', 'HAB 3:2', 'ZEP 2:11', 'ZEP 3:7', 'ZEP 3:15', 'ZEP 3:16', 'HAG 1:12', 'HAG 2:5', 'ZEC 8:13', 'ZEC 8:15', 'ZEC 9:5', 'MAL 1:14', 'MAL 2:5', 'MAL 3:5', 'MAL 3:23']
2319	['GEN 22:12', 'EXO 18:21', 'DEU 7:19', 'DEU 20:8', 'JDG 7:3', 'JDG 7:10', '1SA 23:3', 'JOB 1:1', 'JOB 1:8', 'JOB 2:3', 'PSA 15:4', 'PSA 22:25', 'PSA 22:27', 'PSA 25:12', 'PSA 25:14', 'PSA 31:21', 'PSA 33:18', 'PSA 34:9', 'PSA 34:11', 'PSA 60:8', 'PSA 61:7', 'PSA 66:16', 'PSA 85:11', 'PSA 103:11', 'PSA 103:13', 'PSA 103:17', 'PSA 111:5', 'PSA 115:11', 'PSA 115:13', 'PSA 118:4', 'PSA 119:74', 'PSA 119:79', 'PSA 128:1', 'PSA 128:4', 'PSA 135:20', 'PSA 145:19', 'PSA 147:11', 'PRO 13:13', 'PRO 14:2', 'PRO 31:30', 'ECC 7:18', 'ECC 8:12', 'ECC 8:13', 'ISA 50:10', 'JER 42:11', 'JER 42:16', 'MAL 3:16', 'MAL 3:16', 'MAL 3:20']
2320	['GEN 20:11', 'EXO 20:20', 'DEU 2:25', '2SA 23:3', '2CH 19:9', 'NEH 5:9', 'NEH 5:15', 'JOB 4:6', 'JOB 6:14', 'JOB 15:4', 'JOB 22:4', 'JOB 28:28', 'PSA 2:11', 'PSA 5:9', 'PSA 19:11', 'PSA 34:13', 'PSA 55:7', 'PSA 90:11', 'PSA 111:10', 'PRO 1:7', 'PRO 1:29', 'PRO 2:5', 'PRO 8:13', 'PRO 9:10', 'PRO 10:27', 'PRO 14:26', 'PRO 14:27', 'PRO 15:16', 'PRO 15:33', 'PRO 16:6', 'PRO 19:23', 'PRO 22:4', 'PRO 23:17', 'ISA 7:25', 'ISA 11:2', 'ISA 11:3', 'ISA 33:6', 'ISA 63:17', 'JER 32:40', 'EZK 1:18', 'EZK 30:13', 'JON 1:10', 'JON 1:16']
2321	['JOS 19:38']
2322	['JER 37:13', 'JER 37:14']
2323	['JDG 6:32', 'JDG 7:1', 'JDG 8:29', 'JDG 8:35', 'JDG 9:1', 'JDG 9:2', 'JDG 9:5', 'JDG 9:16', 'JDG 9:19', 'JDG 9:24', 'JDG 9:28', 'JDG 9:57', '1SA 12:11']
2324	['1KI 11:26', '1KI 11:28', '1KI 11:29', '1KI 11:31', '1KI 11:40', '1KI 12:2', '1KI 12:3', '1KI 12:12', '1KI 12:15', '1KI 12:20', '1KI 12:25', '1KI 12:26', '1KI 12:32', '1KI 13:1', '1KI 13:4', '1KI 13:33', '1KI 13:34', '1KI 14:1', '1KI 14:2', '1KI 14:2', '1KI 14:4', '1KI 14:5', '1KI 14:6', '1KI 14:7', '1KI 14:10', '1KI 14:11', '1KI 14:13', '1KI 14:14', '1KI 14:16', '1KI 14:17', '1KI 14:19', '1KI 14:20', '1KI 14:30', '1KI 15:1', '1KI 15:6', '1KI 15:7', '1KI 15:9', '1KI 15:25', '1KI 15:29', '1KI 15:30', '1KI 15:34', '1KI 16:2', '1KI 16:3', '1KI 16:7', '1KI 16:19', '1KI 16:26', '1KI 16:31', '1KI 21:22', '1KI 22:54', '2KI 3:3', '2KI 9:9', '2KI 10:29', '2KI 10:31', '2KI 13:2', '2KI 13:6', '2KI 13:11', '2KI 14:24', '2KI 15:9', '2KI 15:18', '2KI 15:24', '2KI 15:28', '2KI 17:21', '2KI 17:22', '2KI 23:15', '2CH 9:29', '2CH 10:2', '2CH 10:3', '2CH 10:12', '2CH 10:15', '2CH 11:4', '2CH 11:14', '2CH 12:15', '2CH 13:1', '2CH 13:2', '2CH 13:3', '2CH 13:4', '2CH 13:6', '2CH 13:8', '2CH 13:13', '2CH 13:15', '2CH 13:19', '2CH 13:20']
2325	['2KI 13:13', '2KI 14:16', '2KI 14:23', '2KI 14:27', '2KI 14:28', '2KI 14:29', '2KI 15:1', '2KI 15:8', '1CH 5:17', 'HOS 1:1', 'AMO 1:1', 'AMO 7:9', 'AMO 7:10', 'AMO 7:11']
2326	['2SA 11:21']
2327	['GEN 5:15', 'GEN 5:16', 'GEN 5:18', 'GEN 5:19', 'GEN 5:20', '1CH 1:2']
2328	['1CH 4:18']
2329	['GEN 13:10', 'GEN 13:11', 'GEN 32:12', 'GEN 50:10', 'GEN 50:11', 'NUM 13:29', 'NUM 22:1', 'NUM 26:3', 'NUM 26:63', 'NUM 31:12', 'NUM 32:5', 'NUM 32:19', 'NUM 32:21', 'NUM 32:29', 'NUM 32:32', 'NUM 33:48', 'NUM 33:49', 'NUM 33:50', 'NUM 33:51', 'NUM 34:12', 'NUM 34:15', 'NUM 35:1', 'NUM 35:10', 'NUM 35:14', 'NUM 36:13', 'DEU 1:1', 'DEU 1:5', 'DEU 2:29', 'DEU 3:8', 'DEU 3:17', 'DEU 3:20', 'DEU 3:25', 'DEU 3:27', 'DEU 4:21', 'DEU 4:22', 'DEU 4:26', 'DEU 4:41', 'DEU 4:46', 'DEU 4:47', 'DEU 4:49', 'DEU 9:1', 'DEU 11:30', 'DEU 11:31', 'DEU 12:10', 'DEU 27:2', 'DEU 27:4', 'DEU 27:12', 'DEU 30:18', 'DEU 31:2', 'DEU 31:13', 'DEU 32:47', 'JOS 1:2', 'JOS 1:11', 'JOS 1:14', 'JOS 1:15', 'JOS 2:7', 'JOS 2:10', 'JOS 3:1', 'JOS 3:8', 'JOS 3:11', 'JOS 3:13', 'JOS 3:14', 'JOS 3:15', 'JOS 3:17', 'JOS 4:1', 'JOS 4:3', 'JOS 4:5', 'JOS 4:7', 'JOS 4:8', 'JOS 4:9', 'JOS 4:10', 'JOS 4:16', 'JOS 4:17', 'JOS 4:18', 'JOS 4:19', 'JOS 4:20', 'JOS 4:22', 'JOS 4:23', 'JOS 5:1', 'JOS 7:7', 'JOS 9:1', 'JOS 9:10', 'JOS 12:1', 'JOS 12:7', 'JOS 13:8', 'JOS 13:23', 'JOS 13:27', 'JOS 13:32', 'JOS 14:3', 'JOS 15:5', 'JOS 16:1', 'JOS 16:7', 'JOS 17:5', 'JOS 18:7', 'JOS 18:12', 'JOS 18:19', 'JOS 18:20', 'JOS 19:22', 'JOS 19:33', 'JOS 19:34', 'JOS 20:8', 'JOS 22:4', 'JOS 22:7', 'JOS 22:10', 'JOS 22:11', 'JOS 22:25', 'JOS 23:4', 'JOS 24:8', 'JOS 24:11', 'JDG 3:28', 'JDG 5:17', 'JDG 7:24', 'JDG 7:25', 'JDG 8:4', 'JDG 10:8', 'JDG 10:9', 'JDG 11:13', 'JDG 11:22', 'JDG 12:5', 'JDG 12:6', '1SA 13:7', '1SA 31:7', '2SA 2:29', '2SA 10:17', '2SA 17:22', '2SA 17:24', '2SA 19:17', '2SA 19:19', '2SA 19:20', '2SA 19:33', '2SA 19:38', '2SA 19:41', '2SA 19:43', '2SA 20:2', '2SA 24:5', '1KI 2:8', '1KI 7:46', '1KI 17:3', '1KI 17:5', '2KI 2:6', '2KI 2:7', '2KI 2:13', '2KI 5:10', '2KI 5:14', '2KI 6:2', '2KI 6:4', '2KI 7:15', '2KI 10:33', '1CH 6:48', '1CH 12:17', '1CH 12:39', '1CH 19:17', '1CH 26:30', '2CH 4:17', 'JOB 40:23', 'PSA 42:8', 'PSA 114:3', 'PSA 114:5', 'ISA 8:23', 'JER 12:5', 'JER 49:19', 'JER 50:44', 'EZK 47:18', 'ZEC 11:3']
2330	['2CH 20:16']
2331	['1CH 5:14']
2332	['2KI 15:33', '2CH 27:1']
2333	['EZR 4:8', 'EZR 4:12', 'EZR 4:20', 'EZR 4:23', 'EZR 4:24', 'EZR 5:1', 'EZR 5:2', 'EZR 5:14', 'EZR 5:15', 'EZR 5:16', 'EZR 5:17', 'EZR 6:3', 'EZR 6:5', 'EZR 6:5', 'EZR 6:9', 'EZR 6:12', 'EZR 6:18', 'EZR 7:13', 'EZR 7:14', 'EZR 7:15', 'EZR 7:16', 'EZR 7:17', 'EZR 7:19', 'DAN 5:2', 'DAN 5:3', 'DAN 6:12']
