	en	Found	Not_found	Found_ratio
1248	Hashubah	1	0	1.0
1249	Hashum	4	2	0.6666666666666666
1250	Hasidean	0	1	0.0
1251	Hasrah	1	1	0.5
1252	Hassenaah	1	0	1.0
1253	Hassenuah	2	0	1.0
1254	Hasshub	4	1	0.8
1255	Hassophereth	0	1	0.0
1256	Hasupha	2	1	0.6666666666666666
1257	Hatath	0	1	0.0
1258	Hathach	4	0	1.0
1259	Hatipha	2	1	0.6666666666666666
1260	Hatita	0	1	0.0
1261	Hatitah	0	2	0.0
1262	Hattil	2	0	1.0
1263	Hattush	4	2	0.6666666666666666
1264	Hauran	2	0	1.0
1265	Havilah	7	0	1.0
1266	Hazael	20	1	0.9523809523809523
1267	Hazaiah	1	0	1.0
1268	Hazar Addar	1	0	1.0
1269	Hazar-Enan	0	3	0.0
1270	Hazar-Enon	0	1	0.0
1271	Hazar-Gaddah	0	1	0.0
1272	Hazar-Shual	0	4	0.0
1273	Hazar-Susah	0	1	0.0
1274	Hazar-Susim	0	1	0.0
1275	Hazarmaveth	2	0	1.0
1276	Hazazon Tamar	2	0	1.0
1277	Hazer-hatticon	0	1	0.0
1278	Hazeroth	6	0	1.0
1279	Haziel	1	0	1.0
1280	Hazo	1	0	1.0
1281	Hazor	18	0	1.0
1282	Hazor-Hadattah	0	1	0.0
1283	Hazzelelponi	1	0	1.0
1284	Hazzobebah	0	1	0.0
1285	Heber	10	0	1.0
1286	Heberite	1	0	1.0
1287	Hebrew	39	0	1.0
1288	Hebron	61	5	0.9242424242424242
1289	Hebronite	5	0	1.0
1290	Hegai	4	0	1.0
1291	Hela	2	0	1.0
1292	Helam	2	0	1.0
1293	Helbah	1	0	1.0
1294	Helbon	1	0	1.0
1295	Heldai	2	0	1.0
1296	Heleb	1	0	1.0
1297	Heled	1	0	1.0
1298	Helek	2	0	1.0
1299	Helekite	1	0	1.0
1300	Helem	2	0	1.0
1301	Heleph	1	0	1.0
1302	Helez	5	0	1.0
1303	Heli	0	29	0.0
1304	Heliodorus	0	1	0.0
1305	Helkai	1	0	1.0
1306	Helkath	2	0	1.0
1307	Hellenist	0	1	0.0
1308	Hellenization	0	5	0.0
1309	Helon	5	0	1.0
1310	Heman	13	3	0.8125
1311	Hemdan	1	0	1.0
1312	Hen	1	0	1.0
1313	Hena	3	0	1.0
1314	Henadad	3	1	0.75
1315	Hepher	9	0	1.0
1316	Hepherite	1	0	1.0
1317	Hephzibah	1	0	1.0
1318	Heres	1	0	1.0
1319	Heresh	1	0	1.0
1320	Hereth	1	0	1.0
1321	Hermes	1	1	0.5
1322	Hermogenes	0	1	0.0
1323	Hermon	12	3	0.8
1324	Herod	39	0	1.0
1325	Herodians	0	1	0.0
1326	Herodias	0	3	0.0
1327	Herodion	0	6	0.0
1328	Heshbon	35	4	0.8974358974358975
1329	Heshmon	1	0	1.0
1330	Heth	14	0	1.0
1331	Hethlon	2	0	1.0
1332	Hezekiah	90	11	0.8910891089108911
1333	Hezion	1	0	1.0
1334	Hezir	1	1	0.5
1335	Hezro	2	0	1.0
1336	Hezron	18	0	1.0
1337	Hezronite	2	0	1.0
1338	Hiddayi	0	1	0.0
1339	Hiel	1	0	1.0
1340	Hilen	0	2	0.0
1341	Hilkiah	19	1	0.95
1342	Hillel	2	0	1.0
1343	Hilqiah	0	14	0.0
1344	Hirah	2	0	1.0
1345	Hiram	21	18	0.5384615384615384
1346	Hittite	48	0	1.0
1347	Hivite	25	0	1.0
1348	Hizki	1	0	1.0
1349	Hobab	2	0	1.0
1350	Hobah	1	0	1.0
1351	Hod	1	0	1.0
1352	Hodaviah	4	0	1.0
1353	Hodesh	1	0	1.0
1354	Hodevah	1	0	1.0
1355	Hodiah	3	4	0.42857142857142855
1356	Hoglah	4	0	1.0
1357	Hoham	1	0	1.0
1358	Holon	3	0	1.0
1359	Homam	1	0	1.0
1360	Hophni	5	0	1.0
1361	Hophra	1	0	1.0
1362	Hor	10	0	1.0
1363	Hor-Haggidgad	0	2	0.0
1364	Horam	1	0	1.0
1365	Horeb	17	0	1.0
1366	Horem	1	0	1.0
1367	Horesh	0	4	0.0
1368	Hori	3	0	1.0
1369	Horite	7	0	1.0
1370	Hormah	9	0	1.0
1371	Horonaim	4	0	1.0
1372	Horonite	3	0	1.0
1373	Hosah	5	0	1.0
1374	Hoshaiah	3	0	1.0
1375	Hoshama	1	0	1.0
1376	Hoshea	11	4	0.7333333333333333
1377	Hotham	2	0	1.0
1378	Hothir	2	0	1.0
1379	Hukok	0	2	0.0
1380	Hul	2	0	1.0
1381	Huldah	2	0	1.0
1382	Humtah	1	0	1.0
1383	Hupham	1	0	1.0
1384	Huphamite	1	0	1.0
1385	Huppah	1	0	1.0
1386	Huppim	3	0	1.0
1387	Hur	15	0	1.0
1388	Hurai	1	0	1.0
1389	Huram	1	0	1.0
1390	Huri	1	0	1.0
1391	Hushah	1	0	1.0
1392	Hushai	13	0	1.0
1393	Husham	4	0	1.0
1394	Hushim	5	0	1.0
1395	Ibhar	3	0	1.0
1396	Ibleam	3	0	1.0
1397	Ibneiah	1	0	1.0
1398	Ibnijah	1	0	1.0
1399	Ibri	1	0	1.0
1400	Ibsam	1	0	1.0
1401	Ibzan	2	0	1.0
1402	Ichabod	2	0	1.0
1403	Iconium	0	2	0.0
1404	Idalah	1	0	1.0
1405	Idbash	1	0	1.0
1406	Iddo	13	6	0.6842105263157895
1407	Iduel	0	5	0.0
1408	Idumea	0	2	0.0
1409	Iezer	1	0	1.0
1410	Iezrite	0	1	0.0
1411	Igal	3	0	1.0
1412	Igdaliah	1	0	1.0
1413	Iim	1	1	0.5
1414	Ijon	3	0	1.0
1415	Ikkesh	3	0	1.0
1416	Ilai	1	0	1.0
1417	Imalkue	0	1	0.0
1418	Imlah	2	2	0.5
1419	Immanuel	1	0	1.0
1420	Immer	10	2	0.8333333333333334
1421	Imna	1	0	1.0
1422	Imnah	4	0	1.0
1423	Imnite	1	0	1.0
1424	Imrah	1	0	1.0
1425	Imri	2	0	1.0
1426	India	2	0	1.0
1427	Indian	0	6	0.0
1428	Iob	1	0	1.0
1429	Iphdeiah	1	0	1.0
1430	Iphthah	0	30	0.0
1431	Ir	1	0	1.0
1432	Ir-Nahash	0	1	0.0
1433	Ir-Shemesh	0	1	0.0
1434	Ira	6	0	1.0
1435	Irad	1	0	1.0
1436	Iram	2	0	1.0
1437	Iri	1	0	1.0
1438	Irijah	2	0	1.0
1439	Irpeel	1	0	1.0
1440	Iru	1	0	1.0
1441	Isaac	120	12	0.9090909090909091
1442	Isaiah	32	10	0.7619047619047619
1443	Iscah	1	0	1.0
1444	Iscariot	0	20	0.0
1445	Isdael	0	1	0.0
1446	Ish-Bosheth	0	11	0.0
1447	Ishbah	1	0	1.0
1448	Ishbak	2	0	1.0
1449	Ishbi-Benob	0	1	0.0
1450	Ishhod	1	0	1.0
1451	Ishi	4	0	1.0
1452	Ishma	1	0	1.0
1453	Ishmael	45	1	0.9782608695652174
1454	Ishmaelite	7	1	0.875
1455	Ishmaiah	2	0	1.0
1456	Ishmerai	1	0	1.0
1457	Ishpah	1	0	1.0
1458	Ishpan	1	0	1.0
1459	Ishva	2	0	1.0
1460	Ishvi	4	0	1.0
1461	Ishvite	1	0	1.0
1462	Ismachiah	1	0	1.0
1463	Israel	2523	60	0.9767711962833914
1464	Israelite	3	1	0.75
1465	Issachar	40	5	0.8888888888888888
1466	Isshiah	5	2	0.7142857142857143
1467	Istalcurus	0	245	0.0
1468	Italy	0	1	0.0
1469	Ithai	1	0	1.0
1470	Ithamar	21	1	0.9545454545454546
1471	Ithiel	3	0	1.0
1472	Ithlah	1	0	1.0
1473	Ithmah	1	0	1.0
1474	Ithnan	1	0	1.0
1475	Ithra	1	0	1.0
1476	Ithran	3	0	1.0
1477	Ithream	2	0	1.0
1478	Ithrite	5	0	1.0
1479	Ittai	7	0	1.0
1480	Ituraean	0	4	0.0
1481	Ivvah	3	0	1.0
1482	Iye-Abarim	0	2	0.0
1483	Izhar	7	2	0.7777777777777778
1484	Izharite	4	0	1.0
1485	Izliah	1	0	1.0
1486	Izrahiah	2	0	1.0
1487	Izrahite	1	0	1.0
1488	Izri	1	0	1.0
1489	Izziah	1	0	1.0
1490	Jaakan	1	0	1.0
1491	Jaakobah	1	0	1.0
1492	Jaala	1	0	1.0
1493	Jaalah	1	1	0.5
1494	Jaare-Oregim	1	0	1.0
1495	Jaareshiah	1	0	1.0
1496	Jaasiel	2	0	1.0
1497	Jaasu	1	0	1.0
1498	Jaazaniah	4	0	1.0
1499	Jaaziah	2	0	1.0
1500	Jaaziel	1	0	1.0
1501	Jabal	1	0	1.0
1502	Jabbok	6	1	0.8571428571428571
1503	Jabesh	24	0	1.0
1504	Jabez	3	0	1.0
1505	Jabin	7	1	0.875
1506	Jabneel	2	0	1.0
1507	Jabneh	1	0	1.0
1508	Jachin	8	0	1.0
1509	Jachinite	1	0	1.0
1510	Jacob	349	37	0.9041450777202072
1511	Jada	2	0	1.0
1512	Jaddai	0	1	0.0
1513	Jaddua	2	1	0.6666666666666666
1514	Jaddus	0	1	0.0
1515	Jadon	1	0	1.0
1516	Jael	6	0	1.0
1517	Jagur	1	0	1.0
1518	Jahath	6	2	0.75
1519	Jahaz	4	0	1.0
1520	Jahaziel	5	3	0.625
1521	Jahdai	1	0	1.0
1522	Jahdiel	1	0	1.0
1523	Jahdo	1	0	1.0
1524	Jahleel	2	0	1.0
1525	Jahleelite	1	0	1.0
1526	Jahzah	1	4	0.2
1527	Jahzeel	2	0	1.0
1528	Jahzeelite	1	0	1.0
1529	Jahzeiah	1	2	0.3333333333333333
1530	Jahzerah	1	0	1.0
1531	Jahziel	1	0	1.0
1532	Jair	13	1	0.9285714285714286
1533	Jairite	1	0	1.0
1534	Jairus	1	2	0.3333333333333333
1535	Jakan	0	1	0.0
1536	Jakeh	1	0	1.0
1537	Jakim	2	0	1.0
1538	Jalam	4	0	1.0
1539	Jalon	1	0	1.0
1540	Jambres	0	2	0.0
1541	Jambri	0	26	0.0
1542	James	40	1	0.975609756097561
1543	Jamin	6	0	1.0
1544	Jaminite	1	0	1.0
1545	Jamlek	0	1	0.0
1546	Jamnia	0	4	0.0
1547	Jamnite	0	3	0.0
1548	Janai	1	0	1.0
1549	Jannai	0	1	0.0
1550	Jannes	0	2	0.0
1551	Janoah	3	0	1.0
1552	Janum	0	1	0.0
1553	Japheth	11	1	0.9166666666666666
1554	Japhia	5	0	1.0
1555	Japhlet	2	0	1.0
1556	Japhletite	1	0	1.0
1557	Jarah	1	0	1.0
1558	Jared	6	2	0.75
1559	Jarha	2	0	1.0
1560	Jarib	3	2	0.6
1561	Jarmuth	7	0	1.0
1562	Jaroah	1	0	1.0
1563	Jashen	1	0	1.0
1564	Jashobeam	2	1	0.6666666666666666
1565	Jashub	3	1	0.75
1566	Jashubite	1	0	1.0
1567	Jason	18	6	0.75
1568	Jathniel	1	0	1.0
1569	Jattir	3	1	0.75
1570	Javan	7	4	0.6363636363636364
1571	Javanite	0	1	0.0
1572	Jazer	12	2	0.8571428571428571
1573	Jaziz	0	1	0.0
1574	Jeatherai	0	1	0.0
1575	Jeberechiah	1	0	1.0
1576	Jebus	4	0	1.0
1577	Jebusite	41	1	0.9761904761904762
1578	Jechoniah	0	1	0.0
1579	Jecoliah	1	2	0.3333333333333333
1580	Jeconiah	7	1	0.875
1581	Jedaiah	13	1	0.9285714285714286
1582	Jediael	5	1	0.8333333333333334
1583	Jedidah	1	0	1.0
1584	Jedidiah	1	0	1.0
1585	Jeduthun	15	5	0.75
1586	Jehallelel	2	0	1.0
1587	Jehdeiah	2	0	1.0
1588	Jehiah	1	0	1.0
1589	Jehiel	13	29	0.30952380952380953
1590	Jehieli	2	0	1.0
1591	Jehizkiah	1	40	0.024390243902439025
1592	Jehoaddah	2	0	1.0
1593	Jehoaddin	1	1	0.5
1594	Jehoahaz	20	0	1.0
1595	Jehoash	13	4	0.7647058823529411
1596	Jehohanan	8	18	0.3076923076923077
1597	Jehoiachin	11	0	1.0
1598	Jehoiada	47	4	0.9215686274509803
1599	Jehoiakim	37	0	1.0
1600	Jehoiarib	2	0	1.0
1601	Jehonadab	3	12	0.2
1602	Jehoram	20	9	0.6896551724137931
1603	Jehoshabeath	2	0	1.0
1604	Jehoshaphat	81	4	0.9529411764705882
1605	Jehosheba	1	0	1.0
1606	Jehozabad	4	0	1.0
1607	Jehozadak	8	0	1.0
1608	Jehu	57	1	0.9827586206896551
1609	Jehubbah	1	0	1.0
1610	Jehucal	1	0	1.0
1611	Jeiel	11	2	0.8461538461538461
1612	Jekabzeel	1	0	1.0
1613	Jekameam	2	0	1.0
1614	Jekamiah	2	0	1.0
1615	Jekuthiel	1	0	1.0
1616	Jemimah	1	0	1.0
1617	Jemuel	2	0	1.0
1618	Jephthah	0	5	0.0
1619	Jephunneh	15	2	0.8823529411764706
1620	Jerah	2	0	1.0
1621	Jerahmeel	8	0	1.0
1622	Jerahmeelite	2	0	1.0
1623	Jeremai	1	0	1.0
1624	Jeremiah	129	4	0.9699248120300752
1625	Jeremoth	6	14	0.3
1626	Jeriah	2	1	0.6666666666666666
1627	Jeribai	1	0	1.0
1628	Jericho	56	2	0.9655172413793104
1629	Jeriel	1	0	1.0
1630	Jerimoth	5	2	0.7142857142857143
1631	Jerioth	1	0	1.0
1632	Jeroboam	95	3	0.9693877551020408
1633	Jeroham	7	3	0.7
1634	Jerubbaal	12	1	0.9230769230769231
1635	Jerubbesheth	1	0	1.0
1636	Jeruel	1	0	1.0
1637	Jerusalem	820	34	0.9601873536299765
1638	Jerusalemite	0	1	0.0
1639	Jerusha	2	0	1.0
1640	Jeshaiah	4	2	0.6666666666666666
1641	Jeshanah	1	0	1.0
1642	Jesharelah	1	0	1.0
1643	Jeshebeab	1	0	1.0
1644	Jesher	1	0	1.0
1645	Jeshishai	1	0	1.0
1646	Jeshohaiah	1	0	1.0
1647	Jeshua	28	2	0.9333333333333333
1648	Jeshurun	4	0	1.0
1649	Jesimiel	1	0	1.0
1650	Jesse	38	2	0.95
1651	Jesus	0	4	0.0
1652	Jether	7	1	0.875
1653	Jetheth	2	0	1.0
1654	Jethro	9	0	1.0
1655	Jetur	3	0	1.0
1656	Jeuel	1	1	0.5
1657	Jeush	9	0	1.0
1658	Jeuz	1	0	1.0
1659	Jew	27	68	0.28421052631578947
1660	Jewish	7	359	0.01912568306010929
1661	Jezaniah	1	0	1.0
1662	Jezebel	22	1	0.9565217391304348
1663	Jezer	3	0	1.0
1664	Jezerite	1	0	1.0
1665	Jeziel	2	0	1.0
1666	Jezrahaiah	0	1	0.0
1667	Jezreel	35	1	0.9722222222222222
1668	Jezreelite	13	0	1.0
1669	Jezrielus	0	2	0.0
1670	Jidlaph	1	0	1.0
1671	Joab	141	4	0.9724137931034482
1672	Joah	10	1	0.9090909090909091
1673	Joahaz	4	0	1.0
1674	Joakim	0	2	0.0
1675	Joanan	0	2	0.0
1676	Joanna	0	1	0.0
1677	Joarib	1	14	0.06666666666666667
1678	Joash	48	1	0.9795918367346939
1679	Job	58	2	0.9666666666666667
1680	Jobab	9	0	1.0
1681	Jochebed	2	0	1.0
1682	Joda	0	4	0.0
1683	Jodan	0	1	0.0
1684	Joed	1	0	1.0
1685	Joel	17	35	0.3269230769230769
1686	Joelah	0	1	0.0
1687	Joezer	0	1	0.0
1688	Jogbehah	2	0	1.0
1689	Jogli	1	0	1.0
1690	Joha	2	0	1.0
1691	Johanan	22	3	0.88
1692	John	131	8	0.9424460431654677
1693	Joiada	5	0	1.0
1694	Joiakim	4	0	1.0
1695	Joiarib	5	0	1.0
1696	Jokdeam	1	0	1.0
1697	Jokim	1	0	1.0
1698	Jokmeam	1	1	0.5
1699	Jokneam	3	0	1.0
1700	Jokshan	3	0	1.0
1701	Joktan	6	0	1.0
1702	Joktheel	2	0	1.0
1703	Jonah	18	7	0.72
1704	Jonam	0	1	0.0
1705	Jonathan	219	7	0.9690265486725663
1706	Joppa	3	5	0.375
1707	Jorah	1	0	1.0
1708	Jorai	1	0	1.0
1709	Joram	20	10	0.6666666666666666
1710	Jordan	163	12	0.9314285714285714
1711	Jorim	0	2	0.0
1712	Jorkeam	1	0	1.0
1713	Josech	0	2	0.0
1714	Joseph	244	16	0.9384615384615385
1715	Joses	1	1	0.5
1716	Joshah	1	0	1.0
1717	Joshaphat	2	0	1.0
1718	Joshaviah	1	0	1.0
1719	Joshbekashah	2	0	1.0
1720	Josheb-Basshebeth	0	1	0.0
1721	Joshibiah	1	0	1.0
1722	Joshua	218	914	0.19257950530035337
1723	Josiah	55	23	0.7051282051282052
1724	Josiphiah	1	1	0.5
1725	Jotbah	1	0	1.0
1726	Jotbathah	3	0	1.0
1727	Jotham	23	1	0.9583333333333334
1728	Jozabad	7	6	0.5384615384615384
1729	Jozadak	5	1	0.8333333333333334
1730	Jubal	1	0	1.0
1731	Jucal	1	0	1.0
1732	Judah	800	147	0.8447729672650475
1733	Judaism	0	3	0.0
1734	Judas	133	12	0.9172413793103448
1735	Judea	5	11	0.3125
1736	Judean	0	49	0.0
1737	Judith	2	41	0.046511627906976744
1738	Julia	0	1	0.0
1739	Julius	0	4	0.0
1740	Junias	0	1	0.0
1741	Jushab-Hesed	0	1	0.0
1742	Justus	2	2	0.5
1743	Juttah	1	1	0.5
1744	Kabzeel	3	0	1.0
1745	Kadesh	15	0	1.0
1746	Kadesh Barnea	10	0	1.0
1747	Kadmiel	8	3	0.7272727272727273
1748	Kadmonite	1	0	1.0
1749	Kaiwan	0	1	0.0
1750	Kallai	1	0	1.0
1751	Kamon	1	0	1.0
1752	Kanah	3	0	1.0
1753	Kareah	14	0	1.0
1754	Karka	1	0	1.0
1755	Karkor	1	0	1.0
1756	Karnaim	0	1	0.0
1757	Kartah	1	0	1.0
1758	Kartan	1	0	1.0
1759	Kattath	1	0	1.0
1760	Kedar	11	0	1.0
1761	Kedemah	2	0	1.0
1762	Kedemoth	3	1	0.75
1763	Kedesh	10	3	0.7692307692307693
1764	Kedron	0	1	0.0
1765	Kehelathah	2	0	1.0
1766	Keilah	18	0	1.0
1767	Kelaiah	1	1	0.5
1768	Kelita	2	1	0.6666666666666666
1769	Kemuel	3	0	1.0
1770	Kenan	6	0	1.0
1771	Kenath	2	0	1.0
1772	Kenaz	11	0	1.0
1773	Kenite	12	0	1.0
1774	Kenizzite	4	0	1.0
1775	Keren-Happuch	0	1	0.0
1776	Kerioth	4	0	1.0
1777	Keros	2	1	0.6666666666666666
1778	Keturah	4	0	1.0
1779	Keziah	1	0	1.0
1780	Kibroth Hattaavah	5	0	1.0
1781	Kibzaim	1	0	1.0
1782	Kidron	11	2	0.8461538461538461
