	term	domain	category	sense	AR	DC	en	es	fr	id
67	אֶבֶן בֹּהַן בֶּן־רְאוּבֵן	PN	locale		False	False	Stone of Bohan the son of Reuben	Eben-ézer	Bohân	Batu Bohan
68	אֶבֶן	PN	locale		False	False	Serpent’s Stone	torno	Rocher du Serpent	Batu Ular
69	אֶבֶן	PN	locale		False	False	Ebenezer	par de piedras	Evèn-Ezèr	Eben-Haezer
70	אָבְנַיִם	RE	tools	1	False	False	pottery wheel	Abner	tour de potier	pelarikan
71	אָבְנַיִם	RE	tools; childbirth	2	False	False	birthstool	Ebes	tabourer pour l'accouchement	kursi kelahiran
72	אַבְנֵר	PN	person		False	False	Abner	Ibsán	Avner	Abner
73	אֶבֶץ	PN	settlement		False	False	Ebez	Abraham	Evèç	Ebes
74	אִבְצָן	PN	person		False	False	Ibzan	Abram	Ibçân	Ibzan
75	אַבְרָהָם	PN	person		False	False	Abraham	Absalón	Abraham	Abraham
76	אַבְרָם	PN	person		False	False	Abram	Absalón	Abram	Abram
77	אַבְשָׁלוֹם	PN	person	1	False	False	Absalom	Obot	Absalom	Absalom
78	אַבְשָׁלוֹם	PN	person	2	False	False	Absalom	Agué	Absalom	Absalom
79	אֹבֹת	PN	settlement		False	False	Oboth	Agag	Ovoth	Obot
80	אָגֵא	PN	person		False	False	Agee	Agag	Agué	Age
81	אֲגַג	PN	person	1	False	False	Agag	Agagita	Agag	Agag
82	אֲגַג	PN	person	2	False	False	Agag	nogal	Agag	Agag
83	אֲגָגִי	PN	person		False	False	Agagite	Agur	Agaguite	orang Agag
84	אֱגוֹז	FL	trees; fruits		False	False	walnut	Eglaim	noix	kenari
85	אָגוּר	PN	person		False	False	Agur	junco	Agour	Agur
86	אֶגְלַיִם	PN	settlement		False	False	Eglaim	Adbeel	Eglaïm	Eglaim
87	אַגְמוֹן	FL	grasses		False	False	rush	Hadad	roseau	gelagah
88	אַדְבְּאֵל	PN	person		False	False	Adbeel	Idó	Adbéel	Adbeel
89	אֲדַד	PN	person		False	False	Hadad	Edom	Hadad	Hadad
90	אִדּוֹ	PN	person		False	False	Iddo	Edomita	Iddo	Ido
91	אֱדוֹם	PN	group; area		False	False	Edom	Adón	Edom	Edom
92	אֲדוֹמִי	PN	group		False	False	Edomite	señor	Edomite	orang Edom
93	אַדּוֹן	PN	settlement		False	False	Addon	Adoraim	Addôn	Adon
94	אָדוֹן	BE	people; authority		False	False	lord	poderoso	seigneur	tuan
95	אֲדוֹרַיִם	PN	settlement		False	False	Adoraim	noble	Adoraïm	Adoraim
96	אַדִּיר	AT	honor, respect, status	1	False	False	mighty	Adalías	magnifique	mulia
97	אַדִּיר	BE	people; honor, respect, status	2	False	False	noble	teñir de rojo	capitaines	bangsawan
98	אֲדַלְיָא	PN	person		False	False	Adalia	Adán	Adalya	Adalya
99	אדם	RE	crafts; cloth		False	False	to be dyed red	Adán	être rouge	dicelup merah
